model,display,family,conf_auc,conf_sscs,g_auc,g_sscs,f1_auc,f1_sscs
knn,kNN,classic,0.815,0.637,0.823,0.626,0.8273979795468013,0.622461256324125
LogReg,LogReg,classic,0.823,0.578,0.838,0.57,0.8399885995172385,0.5762459242674377
tabm,TabM,deep,0.832,0.569,0.854,0.541,0.8569936698216792,0.5484885791499863
mlp,MLP,deep,0.833,0.508,0.848,0.531,0.8496451972618977,0.5317250158903609
PFN-v2,TabPFN-v2,TFM,0.889,0.496,0.889,0.494,0.8899424980421257,0.4966341549874115
tabicl,TabICL,TFM,0.89,0.494,0.89,0.499,0.8911648169428983,0.5018699607389008
mitra,Mitra,TFM,0.877,0.5,0.878,0.502,0.878301855788957,0.5128844257843597
tabpfn,TabPFN-v1,TFM,0.874,0.517,0.875,0.51,0.8750513586919992,0.5206801472131656
lightgbm,LightGBM,GBDT,0.864,0.544,0.865,0.527,0.8672796540267912,0.5324001746004372
catboost,CatBoost,GBDT,0.864,0.532,0.868,0.521,0.8680618814618216,0.5255269684091602
xgboost,XGBoost,GBDT,0.862,0.54,0.866,0.541,0.867512436620219,0.5453417753215829
