block,alpha,score,metric,model,family,mean_rank
F1,0.1,lac,auc,tabfm,TFM,2.8319
F1,0.1,lac,auc,tabpfn3,TFM,6.0531
F1,0.1,lac,auc,tabiclv2,TFM,5.2035
F1,0.1,lac,auc,tabpfn26,TFM,7.6858
F1,0.1,lac,auc,tabpfn25,TFM,6.7655
F1,0.1,lac,auc,tabpfn25b,TFM,7.5708
F1,0.1,lac,auc,PFN-v2,TFM,9.0398
F1,0.1,lac,auc,tabicl,TFM,9.5841
F1,0.1,lac,auc,exaone,TFM,5.4204
F1,0.1,lac,auc,tabldm,TFM,6.2743
F1,0.1,lac,auc,mitra@v2,TFM,6.7257
F1,0.1,lac,auc,mitra,TFM,11.9248
F1,0.1,lac,auc,tabpfn,TFM,13.7876
F1,0.1,lac,auc,catboost,GBDT,14.9558
F1,0.1,lac,auc,lightgbm,GBDT,15.6726
F1,0.1,lac,auc,xgboost,GBDT,15.3628
F1,0.1,lac,auc,tabm,deep,16.4071
F1,0.1,lac,auc,ftt,deep,16.8938
F1,0.1,lac,auc,resnet,deep,18.0708
F1,0.1,lac,auc,mlp,deep,18.5841
F1,0.1,lac,auc,LogReg,classic,18.5221
F1,0.1,lac,auc,knn,classic,19.6637
F1,0.1,lac,commit_pt,tabfm,TFM,13.8496
F1,0.1,lac,commit_pt,tabpfn3,TFM,13.146
F1,0.1,lac,commit_pt,tabiclv2,TFM,13.1593
F1,0.1,lac,commit_pt,tabpfn26,TFM,13.1549
F1,0.1,lac,commit_pt,tabpfn25,TFM,12.8982
F1,0.1,lac,commit_pt,tabpfn25b,TFM,12.7522
F1,0.1,lac,commit_pt,PFN-v2,TFM,12.8142
F1,0.1,lac,commit_pt,tabicl,TFM,12.4735
F1,0.1,lac,commit_pt,exaone,TFM,13.6416
F1,0.1,lac,commit_pt,tabldm,TFM,12.8805
F1,0.1,lac,commit_pt,mitra@v2,TFM,13.4071
F1,0.1,lac,commit_pt,mitra,TFM,11.0708
F1,0.1,lac,commit_pt,tabpfn,TFM,11.2832
F1,0.1,lac,commit_pt,catboost,GBDT,10.8009
F1,0.1,lac,commit_pt,lightgbm,GBDT,10.6239
F1,0.1,lac,commit_pt,xgboost,GBDT,10.5177
F1,0.1,lac,commit_pt,tabm,deep,9.7389
F1,0.1,lac,commit_pt,ftt,deep,10.2655
F1,0.1,lac,commit_pt,resnet,deep,9.6903
F1,0.1,lac,commit_pt,mlp,deep,8.6681
F1,0.1,lac,commit_pt,LogReg,classic,8.6814
F1,0.1,lac,commit_pt,knn,classic,7.4823
F1,0.1,lac,sscsp,tabfm,TFM,5.9159
F1,0.1,lac,sscsp,tabpfn3,TFM,6.8407
F1,0.1,lac,sscsp,tabiclv2,TFM,7.1858
F1,0.1,lac,sscsp,tabpfn26,TFM,8.5929
F1,0.1,lac,sscsp,tabpfn25,TFM,8.0354
F1,0.1,lac,sscsp,tabpfn25b,TFM,8.6549
F1,0.1,lac,sscsp,PFN-v2,TFM,9.9558
F1,0.1,lac,sscsp,tabicl,TFM,9.677
F1,0.1,lac,sscsp,exaone,TFM,6.7257
F1,0.1,lac,sscsp,tabldm,TFM,7.9425
F1,0.1,lac,sscsp,mitra@v2,TFM,7.6372
F1,0.1,lac,sscsp,mitra,TFM,12.3982
F1,0.1,lac,sscsp,tabpfn,TFM,13.5973
F1,0.1,lac,sscsp,catboost,GBDT,13.9115
F1,0.1,lac,sscsp,lightgbm,GBDT,14.4381
F1,0.1,lac,sscsp,xgboost,GBDT,13.2566
F1,0.1,lac,sscsp,tabm,deep,15.2655
F1,0.1,lac,sscsp,ftt,deep,16.3496
F1,0.1,lac,sscsp,resnet,deep,16.5487
F1,0.1,lac,sscsp,mlp,deep,17.5354
F1,0.1,lac,sscsp,LogReg,classic,16.9336
F1,0.1,lac,sscsp,knn,classic,15.6018
F1,0.1,lac,sscs,tabfm,TFM,10.7522
F1,0.1,lac,sscs,tabpfn3,TFM,10.7301
F1,0.1,lac,sscs,tabiclv2,TFM,10.6239
F1,0.1,lac,sscs,tabpfn26,TFM,10.6681
F1,0.1,lac,sscs,tabpfn25,TFM,11.0221
F1,0.1,lac,sscs,tabpfn25b,TFM,10.9867
F1,0.1,lac,sscs,PFN-v2,TFM,11.4867
F1,0.1,lac,sscs,tabicl,TFM,10.9779
F1,0.1,lac,sscs,exaone,TFM,10.6814
F1,0.1,lac,sscs,tabldm,TFM,10.854
F1,0.1,lac,sscs,mitra@v2,TFM,10.7522
F1,0.1,lac,sscs,mitra,TFM,11.531
F1,0.1,lac,sscs,tabpfn,TFM,12.5177
F1,0.1,lac,sscs,catboost,GBDT,12.2743
F1,0.1,lac,sscs,lightgbm,GBDT,12.3097
F1,0.1,lac,sscs,xgboost,GBDT,11.0088
F1,0.1,lac,sscs,tabm,deep,11.9646
F1,0.1,lac,sscs,ftt,deep,13.0575
F1,0.1,lac,sscs,resnet,deep,12.9381
F1,0.1,lac,sscs,mlp,deep,13.3496
F1,0.1,lac,sscs,LogReg,classic,12.4292
F1,0.1,lac,sscs,knn,classic,10.0841
