block,alpha,arm,family,delivered_cov,eps,width,width_fb,sscs,sscsp,n_runs
F1,0.1,lac,TFM,0.901979721603264,0.03148878562806058,1.2303290376039795,1.2618178232320398,0.49143286904355643,0.9030317593638186,14690
F1,0.1,lac,GBDT,0.9026420587695895,0.026110612376906536,1.2867467592921442,1.3128573716690506,0.5344229727770601,0.8873893999298094,3390
F1,0.1,lac,deep,0.9029347762009414,0.023842745024364714,1.3260555290753668,1.3498982740997314,0.5354283891316547,0.8766453227885799,4520
F1,0.1,lac,classic,0.9066916881855216,0.01609614916657794,1.4069171565845089,1.4230133057510868,0.5993535902957814,0.8671275340474731,2260
F1,0.1,lac,all,0.9035620611898292,0.024384573048977443,1.3125121206389998,1.3368966936879771,0.5401594553120131,0.8835485040324202,24860
F1,0.1,apsr,TFM,0.9013741482640449,0.04544722479952648,1.3236241309424424,1.369071355741969,0.07763329219559909,0.9003376770973545,14690
F1,0.1,apsr,GBDT,0.9014140309696573,0.036152373693339124,1.3634240558631774,1.3995764295565165,0.1574398315002121,0.8764881461572851,3390
F1,0.1,apsr,deep,0.9019800878758758,0.03551857871495478,1.410210426741067,1.4457290054560215,0.13170729697311817,0.8677746543551585,4520
F1,0.1,apsr,classic,0.9093040013076188,0.026388783637788175,1.5491800721047153,1.5755688557425038,0.16757505831875585,0.8509701949150208,2260
F1,0.1,apsr,all,0.9035180671042993,0.03587674021140214,1.4116096714128505,1.4474864116242527,0.1335888697469213,0.8738926681312048,24860
F1,0.1,apsd,TFM,0.9806916122202065,0.0,2.314826693768728,2.314826693768728,0.918277185010808,0.918277185010808,14690
F1,0.1,apsd,GBDT,0.9917925801614279,0.0,2.3365697061300685,2.3365697061300685,0.9587416649932058,0.9587416649932058,3390
F1,0.1,apsd,deep,0.9705739025596356,0.0,2.2166707264282257,2.2166707264282257,0.8811378866440968,0.8811378866440968,4520
F1,0.1,apsd,classic,0.9893421960952766,0.0,2.142630827986636,2.142630827986636,0.9654479407657299,0.9654479407657299,2260
F1,0.1,apsd,all,0.9831000727591366,0.0,2.252674488578415,2.252674488578415,0.9309011693534601,0.9309011693534601,24860
F1,0.1,lac_top1,TFM,0.9270131825384582,0.0,1.2618178232320398,1.2618178232320398,0.8970233586502291,0.8970233586502291,14690
F1,0.1,lac_top1,GBDT,0.9229906163048546,0.0,1.3128573716690506,1.3128573716690506,0.882029220477729,0.882029220477729,3390
F1,0.1,lac_top1,deep,0.9211707306899799,0.0,1.3498982740997314,1.3498982740997314,0.8714716236260593,0.8714716236260593,4520
F1,0.1,lac_top1,classic,0.9183534303433731,0.0,1.4230133057510868,1.4230133057510868,0.8630293621273366,0.8630293621273366,2260
F1,0.1,lac_top1,all,0.9223819899691665,0.0,1.3368966936879771,1.3368966936879771,0.8783883912203385,0.8783883912203385,24860
F1,0.1,lac_top1_retuned,TFM,0.8973719099282126,0.0,1.4203333403346465,1.4203333403346465,0.8483213303923218,0.8483213303923218,8570
F1,0.1,lac_top1_retuned,GBDT,0.8951225129516834,0.0,1.447382907285746,1.447382907285746,0.8336886980289147,0.8336886980289147,2101
F1,0.1,lac_top1_retuned,deep,0.8970900058637676,0.0,1.478480754998451,1.478480754998451,0.8235682946424066,0.8235682946424066,2915
F1,0.1,lac_top1_retuned,classic,0.8945271067302694,0.0,1.4652821947581032,1.4652821947581032,0.8197699142860306,0.8197699142860306,1687
F1,0.1,lac_top1_retuned,all,0.8960278838684832,0.0,1.4528697993442368,1.4528697993442368,0.8313370593374185,0.8313370593374185,15273
