block,score,alpha,control,contrast,mean,lo,hi,wilcoxon_p,pos,neg,zero,n
F1,lac,0.1,sscsp_never_abstaining,TFM-GBDT,0.02226447281756072,0.012786319423801415,0.032987345016214115,5.97182228059019e-06,42,9,0,51
F1,lac,0.1,sscsp_never_abstaining,TFM-deep,0.036405112779836914,0.022357750039469583,0.052134368476734166,5.723300876381906e-08,45,6,0,51
F1,lac,0.1,sscsp_never_abstaining,TFM-classic,0.03745503798892943,0.020675479814502542,0.05496459894835273,1.9194877609563126e-06,42,9,0,51
F1,lac,0.1,selective_error_budget_0.02,TFM-GBDT,-0.01990607168620307,-0.025429080163066053,-0.014951305433305983,2.8746843224949426e-18,10,103,0,113
F1,lac,0.1,selective_error_budget_0.02,TFM-deep,-0.030131085242231227,-0.0372743654559612,-0.023835230654048255,8.55477705153966e-20,3,110,0,113
F1,lac,0.1,selective_error_budget_0.02,TFM-classic,-0.04958888828003545,-0.05911126720726938,-0.0407594375807689,6.228727672281932e-20,5,108,0,113
F1,lac,0.1,selective_error_budget_0.05,TFM-GBDT,-0.019880621771798963,-0.025558942793884667,-0.014795275911904934,3.134579207806199e-18,9,103,1,113
F1,lac,0.1,selective_error_budget_0.05,TFM-deep,-0.030234072442535117,-0.03757743323974015,-0.023801668098950055,7.496349198928838e-20,3,110,0,113
F1,lac,0.1,selective_error_budget_0.05,TFM-classic,-0.04939542930148153,-0.05909729640946481,-0.04047668333521764,5.752646732824787e-20,4,109,0,113
F1,lac,0.1,selective_error_budget_0.10,TFM-GBDT,-0.020059292154350056,-0.025943385234663136,-0.014806264889923385,3.9681481151109656e-18,9,102,2,113
F1,lac,0.1,selective_error_budget_0.10,TFM-deep,-0.030710295240320228,-0.038298429467679654,-0.024028688243979156,7.110196181593738e-20,3,110,0,113
F1,lac,0.1,selective_error_budget_0.10,TFM-classic,-0.04898948408474376,-0.05889084537323834,-0.03988396421978131,4.905793501311012e-20,2,111,0,113
F1,lac,0.1,aurc,TFM-GBDT,-0.019938146845719866,-0.02626343704705909,-0.014555471639959492,1.3036622060821268e-19,6,107,0,113
F1,lac,0.1,aurc,TFM-deep,-0.0323395072718213,-0.04114029645251825,-0.024418791647993553,4.182384261182893e-20,3,110,0,113
F1,lac,0.1,aurc,TFM-classic,-0.04800597319906167,-0.05909215768097144,-0.03806743576724886,3.564607398115061e-20,2,111,0,113
F1,lac,0.1,brier_reliability,TFM-GBDT,-0.025331295184630103,-0.03018836749509671,-0.020666691552849923,1.48646242806538e-19,6,107,0,113
F1,lac,0.1,brier_reliability,TFM-deep,-0.010908499519689016,-0.013130615773756443,-0.008846149861156179,1.3036622060821268e-19,4,109,0,113
F1,lac,0.1,brier_reliability,TFM-classic,-0.010669450271666365,-0.014080599624839998,-0.007741618692444238,2.988995182641996e-17,11,102,0,113
