block,score,alpha,family,eps_mean,n_datasets
F1,lac,0.01,TFM,0.0006234812240378863,113
F1,lac,0.01,GBDT,0.0003702544615492575,113
F1,lac,0.01,deep,0.00021170660395974624,113
F1,lac,0.01,classic,0.00015899315632287447,113
F1,lac,0.02,TFM,0.0019760570956844172,113
F1,lac,0.02,GBDT,0.001401176989900373,113
F1,lac,0.02,deep,0.0011282731601404633,113
F1,lac,0.02,classic,0.0005199513649127472,113
F1,lac,0.05,TFM,0.00989476444635105,113
F1,lac,0.05,GBDT,0.008093358353448918,113
F1,lac,0.05,deep,0.007055014148124149,113
F1,lac,0.05,classic,0.0040309336765250725,113
F1,lac,0.1,TFM,0.03148878562806058,113
F1,lac,0.1,GBDT,0.026110612376906536,113
F1,lac,0.1,deep,0.023842745024364714,113
F1,lac,0.1,classic,0.01609614916657794,113
F1,lac,0.15,TFM,0.06328587988005034,113
F1,lac,0.15,GBDT,0.055730054474166645,113
F1,lac,0.15,deep,0.051003480872359,113
F1,lac,0.15,classic,0.03805689410981082,113
F1,lac,0.2,TFM,0.10459166069258334,113
F1,lac,0.2,GBDT,0.09449260133655966,113
F1,lac,0.2,deep,0.08924711789123477,113
F1,lac,0.2,classic,0.0726380411691013,113
F1,apsr,0.01,TFM,0.0024352681694311956,113
F1,apsr,0.01,GBDT,0.0013130031990588895,113
F1,apsr,0.01,deep,0.001287801366208897,113
F1,apsr,0.01,classic,0.0007816868093424023,113
F1,apsr,0.02,TFM,0.006129033595782336,113
F1,apsr,0.02,GBDT,0.0036857342710630396,113
F1,apsr,0.02,deep,0.0036110136158339287,113
F1,apsr,0.02,classic,0.0024054468142772805,113
F1,apsr,0.05,TFM,0.019235374862249292,113
F1,apsr,0.05,GBDT,0.013522242622746393,113
F1,apsr,0.05,deep,0.013416767120673283,113
F1,apsr,0.05,classic,0.009550254477973029,113
F1,apsr,0.1,TFM,0.04544722479952648,113
F1,apsr,0.1,GBDT,0.036152373693339124,113
F1,apsr,0.1,deep,0.03551857871495478,113
F1,apsr,0.1,classic,0.026388783637788175,113
F1,apsr,0.15,TFM,0.07543839739197912,113
F1,apsr,0.15,GBDT,0.06398727563519514,113
F1,apsr,0.15,deep,0.062326363471863794,113
F1,apsr,0.15,classic,0.047688326758837565,113
F1,apsr,0.2,TFM,0.10889709245682068,113
F1,apsr,0.2,GBDT,0.09576312278850874,113
F1,apsr,0.2,deep,0.09297916994867364,113
F1,apsr,0.2,classic,0.07256757116762202,113
