block,score,alpha,contrast,mean,lo,hi,wilcoxon_p,pos,neg,zero,n,n_effective
F1,lac,0.01,TFM-GBDT,0.00025322676248862866,2.1787344540038857e-05,0.0005244656459341386,0.02684783935546875,14,4,95,113,18
F1,lac,0.01,TFM-deep,0.0004117746200781399,0.00018835295344339306,0.0006722852866592837,7.62939453125e-06,18,0,95,113,18
F1,lac,0.01,TFM-classic,0.0004644880677150117,0.00021938051679166063,0.0007524709185389437,7.62939453125e-06,18,0,95,113,18
F1,lac,0.02,TFM-GBDT,0.0005748801057840443,0.00016895608151531666,0.0010563327789117128,0.025833535939455032,21,8,84,113,29
F1,lac,0.02,TFM-deep,0.0008477839355439536,0.00042778111455921825,0.0013327553969221587,7.450580596923828e-09,28,0,85,113,28
F1,lac,0.02,TFM-classic,0.0014561057307716698,0.0007932600865408843,0.0021827466860408705,7.450580596923828e-09,28,0,85,113,28
F1,lac,0.05,TFM-GBDT,0.0018014060929021339,0.0007508561330921104,0.003018559711680919,0.00036107758796788403,32,10,71,113,42
F1,lac,0.05,TFM-deep,0.0028397502982269035,0.0016324219505413694,0.004176393874837531,8.960500963439699e-07,36,6,71,113,42
F1,lac,0.05,TFM-classic,0.0058638307698259794,0.003861803571799612,0.00799797474673779,1.3960743672214448e-10,39,3,71,113,42
F1,lac,0.1,TFM-GBDT,0.005378173251154041,0.002660025874476181,0.008496905819749665,1.8667499591191654e-05,46,16,51,113,62
F1,lac,0.1,TFM-deep,0.007646040603695863,0.004899368489988063,0.01058748243428911,2.1562458495265768e-08,53,8,52,113,61
F1,lac,0.1,TFM-classic,0.01539263646148264,0.010743094451849918,0.020396612201735467,5.172994912340365e-11,58,4,51,113,62
F1,lac,0.15,TFM-GBDT,0.007555825405883703,0.004981518798967328,0.010375716678884981,2.6066708645103966e-08,60,18,35,113,78
F1,lac,0.15,TFM-deep,0.012282399007691342,0.009177171680093934,0.015608512520241383,7.789323740779534e-13,72,6,35,113,78
F1,lac,0.15,TFM-classic,0.025228985770239524,0.019362955060421003,0.03148004925345132,2.9974645456779634e-14,76,1,36,113,77
F1,lac,0.2,TFM-GBDT,0.010099059356023683,0.006864989947461742,0.013691342013548496,1.6625662503188668e-09,71,21,21,113,92
F1,lac,0.2,TFM-deep,0.015344542801348587,0.011700899931451868,0.01927167735538571,1.9863903480792876e-14,82,10,21,113,92
F1,lac,0.2,TFM-classic,0.031953619523482045,0.025616598680014965,0.038621144222501506,2.3109244170139866e-16,87,4,22,113,91
F1,apsr,0.01,TFM-GBDT,0.0011222649703723064,0.0008930708812914789,0.001365985100321619,2.9091686191222716e-16,87,4,22,113,91
F1,apsr,0.01,TFM-deep,0.0011474668032222988,0.000912969762573475,0.001401926711381828,6.084068961297348e-16,87,5,21,113,92
F1,apsr,0.01,TFM-classic,0.0016535813600887935,0.001264341152574436,0.0020693455129244167,8.992545467601942e-15,81,11,21,113,92
F1,apsr,0.02,TFM-GBDT,0.0024432993247192974,0.0020014162010122518,0.0029083826769454014,1.457367687773613e-17,95,5,13,113,100
F1,apsr,0.02,TFM-deep,0.0025180199799484074,0.0020699403751357264,0.0029829004781101796,7.326564875949317e-18,96,5,12,113,101
F1,apsr,0.02,TFM-classic,0.0037235867815050556,0.002954807918252107,0.004540138124970652,4.3422989190124274e-17,93,7,13,113,100
F1,apsr,0.05,TFM-GBDT,0.005713132239502894,0.004707027271609165,0.006770197832907149,2.362680284197868e-18,98,7,8,113,105
F1,apsr,0.05,TFM-deep,0.005818607741576004,0.004890778336401284,0.00680784050440766,5.835144489754908e-19,101,6,6,113,107
F1,apsr,0.05,TFM-classic,0.009685120384276257,0.007856013727041563,0.011615693342964598,2.879434531958112e-18,98,7,8,113,105
F1,apsr,0.1,TFM-GBDT,0.009294851106187347,0.007698327027580093,0.01103002631193542,4.597776482061592e-19,104,6,3,113,110
F1,apsr,0.1,TFM-deep,0.009928646084571694,0.008347788880165775,0.01161850298496511,2.583111122247425e-19,103,9,1,113,112
F1,apsr,0.1,TFM-classic,0.019058441161738306,0.015700157120894783,0.022578590697526043,2.75180318739495e-19,104,6,3,113,110
F1,apsr,0.15,TFM-GBDT,0.011451121756783967,0.009478270584377604,0.01359844863033534,2.723122571586778e-19,104,8,1,113,112
F1,apsr,0.15,TFM-deep,0.013112033920115326,0.01102889914370844,0.015330766934678646,2.51579709941068e-19,102,10,1,113,112
F1,apsr,0.15,TFM-classic,0.027750070633141548,0.02298117897475913,0.03273193760238127,7.204810865619751e-20,107,5,1,113,112
F1,apsr,0.2,TFM-GBDT,0.013133969668311948,0.010784778322338753,0.01573179050015074,8.18710981832902e-19,102,10,1,113,112
F1,apsr,0.2,TFM-deep,0.015917922508147057,0.013361149251869025,0.018647983179785006,1.4810381377524392e-19,105,7,1,113,112
F1,apsr,0.2,TFM-classic,0.03632952128919867,0.030298930199224607,0.04265074119411753,5.362541062774794e-20,109,3,1,113,112
