block,score,alpha,dataset,model,family,acc_cal,eps
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,LogReg,classic,0.7367125573633709,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,PFN-v2,TFM,0.7411764705882353,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,catboost,GBDT,0.7439716312056738,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,exaone,TFM,0.7477263245723822,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,ftt,deep,0.7371297455152274,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,knn,classic,0.7540258656654151,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,lightgbm,GBDT,0.7370880267000417,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,mitra,TFM,0.7365874009178139,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,mitra@v2,TFM,0.740967876512307,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,mlp,deep,0.7392156862745098,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,resnet,deep,0.7408844388819358,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabfm,TFM,0.7743846474760117,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabicl,TFM,0.7430120984564038,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabiclv2,TFM,0.7398414685022946,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabldm,TFM,0.7475594493116395,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabm,deep,0.7353775552774302,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabpfn,TFM,0.7399249061326658,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabpfn25,TFM,0.7414267834793492,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabpfn25b,TFM,0.741093032957864,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabpfn26,TFM,0.7491864831038798,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,tabpfn3,TFM,0.7411347517730495,0.0
F1,lac,0.1,BLE_RSSI_dataset_for_Indoor_localization,xgboost,GBDT,0.7405506883604506,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,LogReg,classic,0.8065833333333334,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,PFN-v2,TFM,0.8679166666666667,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,catboost,GBDT,0.858125,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,exaone,TFM,0.8679166666666667,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,ftt,deep,0.8619166666666667,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,knn,classic,0.8360416666666666,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,lightgbm,GBDT,0.8630833333333333,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,mitra,TFM,0.8616666666666667,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,mitra@v2,TFM,0.8686666666666667,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,mlp,deep,0.8554166666666667,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,resnet,deep,0.8556666666666667,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabfm,TFM,0.8671666666666666,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabicl,TFM,0.8649583333333333,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabiclv2,TFM,0.8663333333333334,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabldm,TFM,0.8672083333333334,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabm,deep,0.8604166666666666,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabpfn,TFM,0.8543749999999999,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabpfn25,TFM,0.8680416666666666,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabpfn25b,TFM,0.8677083333333334,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabpfn26,TFM,0.8654999999999999,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,tabpfn3,TFM,0.8678333333333332,0.0
F1,lac,0.1,Bank_Customer_Churn_Dataset,xgboost,GBDT,0.8637083333333333,0.0
F1,lac,0.1,Basketball_c,LogReg,classic,0.6996894409937888,0.0
F1,lac,0.1,Basketball_c,PFN-v2,TFM,0.7043478260869566,0.0
F1,lac,0.1,Basketball_c,catboost,GBDT,0.6822981366459627,0.0
F1,lac,0.1,Basketball_c,exaone,TFM,0.7071428571428571,0.0
F1,lac,0.1,Basketball_c,ftt,deep,0.6990683229813665,0.0
F1,lac,0.1,Basketball_c,knn,classic,0.6959627329192546,0.0
F1,lac,0.1,Basketball_c,lightgbm,GBDT,0.686024844720497,0.0
