block,score,alpha,task,metric,contrast,mean,lo,hi,wilcoxon_p,pos,neg,zero,n
F1,lac,0.1,binary,commit_pt,TFM-GBDT,-0.006982763385715689,-0.010853355314423257,-0.003597258032889645,6.271875463426113e-08,5,32,37,74
F1,lac,0.1,binary,commit_pt,TFM-deep,-0.007972970587722955,-0.011767136769101811,-0.004549483383904622,7.243943400681019e-08,4,33,37,74
F1,lac,0.1,binary,commit_pt,TFM-classic,-0.015064203867970645,-0.021428743514813577,-0.009170226000340993,1.6007106751203537e-09,2,35,37,74
F1,lac,0.1,binary,sscsp,TFM-GBDT,0.018068833854317734,0.011096636287016659,0.026058457299050777,8.592265009887388e-10,64,8,2,74
F1,lac,0.1,binary,sscsp,TFM-deep,0.025317631834263648,0.016618197068249844,0.03560261972550533,4.188253918722254e-12,67,7,0,74
F1,lac,0.1,binary,sscsp,TFM-classic,0.036567173106518185,0.026055440362271042,0.0483554517696213,8.919945877072427e-12,65,9,0,74
F1,lac,0.1,binary,sscs,TFM-GBDT,-0.05440071250718969,-0.09359650057716916,-0.02017171587058063,0.3464431198614515,32,25,17,74
F1,lac,0.1,binary,sscs,TFM-deep,-0.04693495102948445,-0.08497824593630926,-0.013095840800546052,0.570820560227273,35,25,14,74
F1,lac,0.1,binary,sscs,TFM-classic,-0.12567837112323313,-0.19499368472027284,-0.06237567947235594,0.14767674319006432,32,30,12,74
F1,lac,0.1,binary,auc,TFM-GBDT,0.028949671491202665,0.02122292917603407,0.037967674718453866,9.882257784355208e-14,72,2,0,74
F1,lac,0.1,binary,auc,TFM-deep,0.04330774353585524,0.03384967718439095,0.05396678415382546,8.742796982059335e-14,72,2,0,74
F1,lac,0.1,binary,auc,TFM-classic,0.060564886448274374,0.049633374138295175,0.0725255426001989,8.742796982059335e-14,72,2,0,74
F1,lac,0.1,multiclass,commit_pt,TFM-GBDT,-0.0023335663291652767,-0.00771534162119478,0.0019196605451944032,0.457846462726593,11,14,14,39
F1,lac,0.1,multiclass,commit_pt,TFM-deep,-0.0070257119160547134,-0.011751326599587088,-0.0026814146102741706,0.0013997554779052734,4,20,15,39
F1,lac,0.1,multiclass,commit_pt,TFM-classic,-0.016015816254300277,-0.02418272874836169,-0.00885409528252725,1.4901161193847656e-06,2,23,14,39
F1,lac,0.1,multiclass,sscsp,TFM-GBDT,0.011038279764706137,0.005017778533824304,0.01795786823158343,0.0020207063207635656,29,10,0,39
F1,lac,0.1,multiclass,sscsp,TFM-deep,0.0284144250581147,0.017842507263191257,0.04123013590871238,1.0115763870999217e-07,35,4,0,39
F1,lac,0.1,multiclass,sscsp,TFM-classic,0.034646324381146204,0.016247982077127736,0.05310369160310071,2.5741581339389086e-05,33,6,0,39
F1,lac,0.1,multiclass,sscs,TFM-GBDT,-0.021339205034714887,-0.05811408774908562,0.0117676887554974,0.7676084339618683,14,13,12,39
F1,lac,0.1,multiclass,sscs,TFM-deep,-0.03841813830187835,-0.08685583826825145,0.0016195338115805903,0.7062525749206543,18,13,8,39
F1,lac,0.1,multiclass,sscs,TFM-classic,-0.07422671893287602,-0.14798407057630297,-0.007970807636877275,0.07704806188121438,14,18,7,39
F1,lac,0.1,multiclass,auc,TFM-GBDT,0.015490224959986913,0.010572021013750318,0.020727728488771757,2.3283064365386963e-09,36,3,0,39
F1,lac,0.1,multiclass,auc,TFM-deep,0.030976998690968448,0.020913629632199563,0.04207987905971549,3.2014213502407074e-10,37,2,0,39
F1,lac,0.1,multiclass,auc,TFM-classic,0.05379702817770783,0.04036430802700986,0.06832000620395,6.912159733474255e-11,38,1,0,39
