block,score,alpha,family,bin_lo,bin_hi,acc_cal_mid,eps_mean,n_cells
F1,lac,0.1,TFM,0.35,0.375,0.3625,0.0,1
F1,lac,0.1,TFM,0.4,0.425,0.4125,0.0,14
F1,lac,0.1,TFM,0.425,0.45,0.4375,0.0,1
F1,lac,0.1,TFM,0.45,0.475,0.4625,0.0,4
F1,lac,0.1,TFM,0.475,0.5,0.4875,0.0,8
F1,lac,0.1,TFM,0.5,0.525,0.5125,0.0,9
F1,lac,0.1,TFM,0.525,0.55,0.5375000000000001,0.0,17
F1,lac,0.1,TFM,0.55,0.575,0.5625,0.0,32
F1,lac,0.1,TFM,0.575,0.6,0.5874999999999999,0.0,10
F1,lac,0.1,TFM,0.6,0.625,0.6125,0.0,24
F1,lac,0.1,TFM,0.625,0.65,0.6375,0.0,28
F1,lac,0.1,TFM,0.65,0.675,0.6625000000000001,0.0,23
F1,lac,0.1,TFM,0.675,0.7,0.6875,0.0,28
F1,lac,0.1,TFM,0.7,0.725,0.7124999999999999,0.0,75
F1,lac,0.1,TFM,0.725,0.75,0.7375,0.0,82
F1,lac,0.1,TFM,0.75,0.775,0.7625,0.0,63
F1,lac,0.1,TFM,0.775,0.8,0.7875000000000001,8.623365872166038e-07,53
F1,lac,0.1,TFM,0.8,0.825,0.8125,0.00024836676704891383,52
F1,lac,0.1,TFM,0.825,0.85,0.8374999999999999,0.000149420825391872,45
F1,lac,0.1,TFM,0.85,0.875,0.8625,0.0005227969054550788,163
F1,lac,0.1,TFM,0.875,0.9,0.8875,0.0008992946953433936,124
F1,lac,0.1,TFM,0.9,0.925,0.9125000000000001,0.018690569929263757,75
F1,lac,0.1,TFM,0.925,0.95,0.9375,0.0588808852877881,150
F1,lac,0.1,TFM,0.95,0.975,0.9624999999999999,0.09081808644121912,157
F1,lac,0.1,TFM,0.975,1.0,0.9875,0.09328245812903262,231
F1,lac,0.1,GBDT,0.35,0.375,0.3625,0.0,1
F1,lac,0.1,GBDT,0.375,0.4,0.3875,0.0,3
F1,lac,0.1,GBDT,0.4,0.425,0.4125,0.0,2
F1,lac,0.1,GBDT,0.5,0.525,0.5125,0.0,7
F1,lac,0.1,GBDT,0.525,0.55,0.5375000000000001,0.0,4
F1,lac,0.1,GBDT,0.55,0.575,0.5625,0.0,1
F1,lac,0.1,GBDT,0.575,0.6,0.5874999999999999,0.0,9
F1,lac,0.1,GBDT,0.6,0.625,0.6125,0.0,18
F1,lac,0.1,GBDT,0.625,0.65,0.6375,0.0,7
F1,lac,0.1,GBDT,0.65,0.675,0.6625000000000001,0.0,16
F1,lac,0.1,GBDT,0.675,0.7,0.6875,0.0,9
F1,lac,0.1,GBDT,0.7,0.725,0.7124999999999999,0.0,7
F1,lac,0.1,GBDT,0.725,0.75,0.7375,0.0,14
F1,lac,0.1,GBDT,0.75,0.775,0.7625,0.0,13
F1,lac,0.1,GBDT,0.775,0.8,0.7875000000000001,0.0,11
F1,lac,0.1,GBDT,0.8,0.825,0.8125,0.0,7
F1,lac,0.1,GBDT,0.825,0.85,0.8374999999999999,8.986928104574942e-05,17
F1,lac,0.1,GBDT,0.85,0.875,0.8625,0.0001584422657952047,34
F1,lac,0.1,GBDT,0.875,0.9,0.8875,0.004367548231001326,39
F1,lac,0.1,GBDT,0.9,0.925,0.9125000000000001,0.020946453542312053,20
F1,lac,0.1,GBDT,0.925,0.95,0.9375,0.05520902765904919,23
F1,lac,0.1,GBDT,0.95,0.975,0.9624999999999999,0.09159171318705375,36
F1,lac,0.1,GBDT,0.975,1.0,0.9875,0.08995634190754005,41
F1,lac,0.1,deep,0.325,0.35,0.3375,0.0,1
F1,lac,0.1,deep,0.35,0.375,0.3625,0.0,4
