block,score,alpha,metric,contrast,mean,lo,hi,wilcoxon_p,pos,neg,zero,n
C39,lac,0.1,auc,TFM-GBDT,0.01712505293392792,0.010605205754464523,0.024435600845341087,9.681480150902644e-06,30,9,0,39
C39,lac,0.1,sscs,TFM-GBDT,-0.16778839927335656,-0.25396236947992684,-0.08910103985817941,9.5367431640625e-06,2,18,19,39
C39,lac,0.1,commit_pt,TFM-GBDT,-0.009541515048774171,-0.014072082256105116,-0.005343285262716198,1.5562487533316016e-05,7,30,2,39
C39,lac,0.1,sscsp,TFM-GBDT,0.017218338303765072,0.011433304568828063,0.023271326729186803,4.403002094477415e-06,31,8,0,39
C39,lac,0.1,cov,TFM-GBDT,0.00039530697645506193,-0.001701826388615542,0.002527130138697025,0.7878679301393277,19,20,0,39
C39,lac,0.1,width,TFM-GBDT,-0.06758854494940525,-0.0943549200809936,-0.0431983524718729,2.6013367460109293e-07,7,32,0,39
C39,lac,0.1,auc,TFM-deep,0.019409983454380168,0.012058080576198733,0.027599274236332315,6.863250746391714e-06,32,7,0,39
C39,lac,0.1,sscs,TFM-deep,-0.14946199778426544,-0.22750842710885913,-0.07855549421162007,3.814697265625e-05,2,17,20,39
C39,lac,0.1,commit_pt,TFM-deep,-0.008134013839893029,-0.012311123754429939,-0.004260473441600585,0.0006420698773581535,7,30,2,39
C39,lac,0.1,sscsp,TFM-deep,0.01738083785926841,0.011624741470919476,0.023262143409634093,9.468312782701105e-07,31,8,0,39
C39,lac,0.1,cov,TFM-deep,0.00030483160685279277,-0.0014697685004268195,0.0020710556345517064,0.7772631587613432,17,22,0,39
C39,lac,0.1,width,TFM-deep,-0.07086449789332692,-0.09940562537882613,-0.04472394404191161,6.863250746391714e-06,7,32,0,39
C39,lac,0.1,auc,TFM-classic,0.038156369967723834,0.024443096948078342,0.053113964647952525,7.348139843088575e-05,28,11,0,39
C39,lac,0.1,sscs,TFM-classic,-0.17601930996885595,-0.26743285317431964,-0.09296070347928378,2.0503997802734375e-05,4,18,17,39
C39,lac,0.1,commit_pt,TFM-classic,-0.01662126667105596,-0.02116383124054589,-0.012399385512972733,1.4551915228366852e-11,0,37,2,39
C39,lac,0.1,sscsp,TFM-classic,0.029244242914193263,0.0194801715027159,0.03953010512927982,3.050863597309217e-06,31,8,0,39
C39,lac,0.1,cov,TFM-classic,-0.007034340114983714,-0.010645003940155,-0.003589346288303982,0.001246341569640208,11,28,0,39
C39,lac,0.1,width,TFM-classic,-0.13494492686839507,-0.17925001965417386,-0.09245091660505177,3.637978807091713e-12,0,39,0,39
