model,family,n_datasets,auc,auc_lo,auc_hi,eps,eps_lo,eps_hi,commit_pt,commit_pt_lo,commit_pt_hi,commit_run,commit_run_lo,commit_run_hi,sscs,sscs_lo,sscs_hi,sscsp,sscsp_lo,sscsp_hi,cov,cov_lo,cov_hi,width,width_lo,width_hi
tabfm,TFM,39,0.9651639816606556,0.95633864423107,0.9730972482798264,0.06767848423772033,0.057210177530730315,0.07733587288970632,0.9323215157622793,0.9226641271102937,0.9427898224692693,0.05897435897435898,0.002564102564102564,0.1358974358974359,0.052017316653192494,0.002358974358974359,0.12018917774632677,0.9625387985711205,0.9517722765344606,0.9719865006593106,0.8972974107205763,0.8929951334353807,0.9017029290348102,0.9389308371824756,0.9240632449065251,0.957197936881988
mitra@v2,TFM,39,0.9636041641988288,0.9540047499596908,0.9722129224025964,0.05845071192117674,0.04569513702410738,0.07029211010005068,0.9415492880788232,0.9297078898999491,0.9543048629758926,0.20512820512820512,0.09743589743589744,0.33076923076923076,0.18534058536555967,0.08727734520409301,0.29819438512429935,0.9561267645627236,0.9435604451042808,0.9675792856465617,0.9002276302208662,0.8959818312376253,0.9047621037363796,0.9533490921493952,0.9348094778891646,0.9751442176024202
tabpfn3,TFM,39,0.9635421008135262,0.9540260739626224,0.9721800518097646,0.06059664246134798,0.047934342615044506,0.07219975199826485,0.9394033575386519,0.9278002480017349,0.9520656573849555,0.16666666666666669,0.06923076923076923,0.2794871794871795,0.14979259672263043,0.06284042646053879,0.2505528894249197,0.9565059125069808,0.9439779766130997,0.9679257215216731,0.898482072043785,0.894494737421243,0.9027449257977151,0.9498479865088402,0.9313628171696573,0.9726573042481825
tabiclv2,TFM,39,0.9631745924037725,0.9534890364049238,0.9718862911068774,0.05845076863175617,0.04562185240559925,0.07024631767738246,0.9415492313682438,0.9297536823226175,0.9543781475944005,0.20512820512820512,0.10250000000000001,0.3257051282051284,0.18478892361951083,0.09142220116748204,0.29433368334994686,0.9548635615687748,0.9420834815148782,0.9665892128618073,0.899206464949773,0.8954640843414085,0.9032553269439234,0.9549914850979325,0.9349476959346573,0.9790796806620069
tabldm,TFM,39,0.9624597455420644,0.9524690503421261,0.9715700766197324,0.05652672670246405,0.043516216596156176,0.06838299547382079,0.9434732732975359,0.931617004526179,0.9564837834038437,0.26666666666666666,0.14358974358974358,0.41282051282051285,0.240102956004797,0.12930054529605708,0.3723477555328983,0.9533218912174366,0.9401842113532636,0.9655788844018215,0.8997165562722068,0.8957331513617595,0.9038452637548454,0.9591845362822153,0.9381253986314148,0.9830927750142696
exaone,TFM,39,0.9623995078093139,0.9525757161144341,0.9714101781179073,0.05634764536721542,0.0433818275747672,0.06832316277462898,0.9436523546327843,0.9316768372253709,0.9566181724252327,0.24102564102564103,0.11794871794871796,0.3794871794871795,0.21680527564340024,0.10741802347731996,0.3430878945865532,0.9533379768047998,0.9401301640071978,0.9654443564654748,0.8998346949581053,0.89589230566734,0.9039669179712102,0.9589110866354685,0.9389253959721688,0.9818233884540187
tabpfn25,TFM,39,0.9618111443865018,0.9516700071480284,0.9710284679030343,0.05653433416121771,0.04321955650245934,0.06896583807637767,0.9434656658387822,0.9310341619236222,0.9567804434975405,0.24358974358974358,0.12307692307692307,0.38461538461538464,0.21880856468424825,0.11097954649092673,0.34406393760934445,0.9523796212847438,0.9389333682020927,0.9647729764142207,0.8987593905287395,0.8947482922036477,0.9030201062322449,0.9590228553342387,0.9379582444940159,0.9833813312681088
tabpfn25b,TFM,39,0.961800900755043,0.9516698948121822,0.9710621956738358,0.05659044296001137,0.04317768093792804,0.06902810536994235,0.9434095570399885,0.9309718946300577,0.9568223190620719,0.2564102564102564,0.13333333333333336,0.39999999999999997,0.23027059216598786,0.12137744173833764,0.35804579437731965,0.9520543355454308,0.9385572098732757,0.9645322691073953,0.8984596322017568,0.8942981351057036,0.9027665876398777,0.9594424001203234,0.9382192710029705,0.9841096715108105
tabicl,TFM,39,0.9606816851480781,0.9502162731588738,0.9703081031458191,0.054998810313861966,0.04164703527829562,0.06740419034995625,0.945001189686138,0.9325958096500438,0.9583529647217045,0.28205128205128205,0.15384615384615385,0.4333333333333333,0.25272434361329793,0.13757869649505905,0.3885158677685416,0.9505693113737161,0.9368972418446446,0.9632205641826913,0.8990564151117496,0.8950624638364824,0.9032490702506045,0.9667493379861966,0.9434723804612907,0.9927674812138948
tabpfn26,TFM,39,0.9602930099121162,0.9496374595105727,0.9699149693563749,0.05412882971219972,0.040661263222233054,0.06633499642599025,0.9458711702878002,0.9336650035740097,0.959338736777767,0.28717948717948716,0.158974358974359,0.4358974358974359,0.2569376880040525,0.1418734868461575,0.3891967103739322,0.9499076740536017,0.9358264737630538,0.9630572745739935,0.8992510238684202,0.8947815475510558,0.9037264539959213,0.9670855963635164,0.9447728262186552,0.9924702693114189
