model,family,n_datasets,auc,auc_lo,auc_hi,eps,eps_lo,eps_hi,commit_pt,commit_pt_lo,commit_pt_hi,commit_run,commit_run_lo,commit_run_hi,sscs,sscs_lo,sscs_hi,sscsp,sscsp_lo,sscsp_hi,cov,cov_lo,cov_hi,width,width_lo,width_hi
tabfm,TFM,42,0.8954179614520396,0.8600167056271463,0.9288324109572248,0.032217396510672014,0.0207549067827475,0.04442510566491658,0.967782603489328,0.9555748943350834,0.9792450932172523,0.4785714285714286,0.3332738095238095,0.6261904761904762,0.40396919614653115,0.28031115129892314,0.5289714597758871,0.9083514206137351,0.887256974651033,0.9301011706255142,0.9038577892709123,0.9003417846940245,0.9092964439525536,1.1389474266725537,1.0611603585358214,1.2214737203154482
tabpfn3,TFM,42,0.8904570270878978,0.8550978800062851,0.9238710735118787,0.03018236495044639,0.018900097968834528,0.04191336922887655,0.9698176350495535,0.9580866307711233,0.9810999020311655,0.5285714285714286,0.3857142857142858,0.6714285714285714,0.44701442526063306,0.3268971857899035,0.5678857559973012,0.9028979176447737,0.881931279417645,0.9248072960300683,0.902909308288335,0.8998437029446462,0.907221219591592,1.1556046551598278,1.076380303615187,1.2389866736865953
tabldm,TFM,42,0.8899745486517112,0.8546758154305678,0.9228580687571344,0.029209682332219343,0.01786576722249535,0.04181454218813687,0.9707903176677805,0.9581854578118632,0.9821342327775048,0.530952380952381,0.38333333333333336,0.6738690476190479,0.44981092753592994,0.3247516558249519,0.5732982852511559,0.9015419920344444,0.8809717527528004,0.9225106986706267,0.9019967646986781,0.9003105971349182,0.9040473263847093,1.1571993367646876,1.079698379856064,1.2392946428846785
tabpfn26,TFM,42,0.8896509212803361,0.8544428031405622,0.9231594702301351,0.029828818440926805,0.01830091540640176,0.04246927402873208,0.9701711815590731,0.957530725971268,0.9816990845935981,0.530952380952381,0.3857142857142857,0.6738095238095239,0.4493398033339798,0.3261567339843838,0.572458030645587,0.899988196233947,0.8788007777443739,0.9217725420849529,0.9017657200966214,0.9001349969751758,0.9038654042155384,1.1648000847328892,1.0841334721784268,1.2484350248583447
tabiclv2,TFM,42,0.8894068814908994,0.8529370461861928,0.9230433264123551,0.030032789529750296,0.018396775811161267,0.04268052316078571,0.9699672104702498,0.9573194768392141,0.9816032241888388,0.530952380952381,0.3857142857142857,0.6738095238095239,0.44964303213373924,0.3259552631659325,0.572626886339886,0.901653792269594,0.8808310220833089,0.9228043750784568,0.9017562261167962,0.8998449933098637,0.9042002437377965,1.1584832344480014,1.080494789807954,1.2431884880303574
tabpfn25,TFM,42,0.8877010187449024,0.852811116814387,0.9202314912759514,0.028106413935069328,0.0163932487861592,0.04082998955050429,0.9718935860649308,0.9591700104494957,0.9836067512138408,0.5595238095238095,0.40952380952380957,0.7023809523809523,0.4747743420191456,0.34920952738746625,0.5964147289007812,0.8987662291019816,0.8782459601235605,0.919977327640467,0.9015506080993871,0.899900215988509,0.9036161636001738,1.170397765772375,1.0908125675003544,1.2527914408408583
tabpfn25b,TFM,42,0.8871865900284638,0.8523535776795683,0.9198027413374475,0.027862068483679565,0.016200643594085365,0.040654976142762575,0.9721379315163206,0.9593450238572373,0.9837993564059146,0.5571428571428572,0.4071428571428572,0.7000000000000001,0.4723357107132624,0.3452948593113725,0.5953264537465162,0.8983027626997755,0.8776572014450614,0.9195010955814047,0.9015650994019495,0.8997997575681285,0.9037081490152358,1.1720392084892564,1.0930608061948757,1.2550106064471287
tabicl,TFM,42,0.8854197348548267,0.8494813624445774,0.919416643190194,0.02774029441601929,0.016182253152946417,0.04041726304683402,0.9722597055839808,0.9595827369531659,0.9838177468470535,0.5714285714285715,0.42857142857142855,0.7142857142857143,0.4834540782345589,0.36331310547656714,0.6052860886087766,0.895351487032106,0.8737172245004243,0.9175822393010882,0.9016575313006664,0.9000012464202799,0.9036762123225237,1.170380094965587,1.0892754930331052,1.2551839224642347
mitra@v2,TFM,42,0.880302295099589,0.8440213528856079,0.9143168868884193,0.02901417512822184,0.01747338828819628,0.04153442450858557,0.9709858248717781,0.9584655754914143,0.9825266117118036,0.5547619047619048,0.4095238095238095,0.6976190476190476,0.46746725209265183,0.34372297835933696,0.5891718234758261,0.8965654778669341,0.8748353806243077,0.9184305588980366,0.9013565279554099,0.8997775203385351,0.9033591723133972,1.1896190352730203,1.1063206986435454,1.2773280117805668
PFN-v2,TFM,42,0.877731587420478,0.8415162415649292,0.9116842957199073,0.027883324267370696,0.01647939406248635,0.040255561604062684,0.9721166757326293,0.9597444383959373,0.9835206059375136,0.5547619047619048,0.40476190476190477,0.6976190476190476,0.4664341664876358,0.3404474827923254,0.5888078622760596,0.8942724730653795,0.8729819649908314,0.9159978648282667,0.9015142748582535,0.8999063877605206,0.9034673136689373,1.1924669791097113,1.1092052186848709,1.2800220623028893
catboost,GBDT,42,0.8715713808830421,0.8306250577361783,0.9098055479492595,0.02591152055649349,0.015041072803318293,0.03804278318927956,0.9740884794435064,0.9619572168107202,0.984958927196682,0.5738095238095239,0.430952380952381,0.7143452380952383,0.4772717394789475,0.3598456928062356,0.5962572115820256,0.8869741411901222,0.8612137992145381,0.912409932341858,0.9022514703570865,0.9004479540746352,0.9045124746874474,1.1891631901659916,1.1020539568343581,1.2794453362192815
lightgbm,GBDT,42,0.8687834470215757,0.8288631919127866,0.9066329313413304,0.02301151617088822,0.012931671825253493,0.03393389178410896,0.9769884838291117,0.966066108215891,0.9870683281747464,0.6047619047619047,0.4642857142857143,0.7428571428571429,0.5057826632342904,0.3897570330272415,0.6187552259425942,0.8860727701987239,0.8599865264460096,0.9115704398857716,0.9051090429812921,0.9009778669906441,0.910999348341595,1.21515252070088,1.131897019581491,1.3054747249815581
xgboost,GBDT,42,0.868514614026474,0.825498644562452,0.9080035329502654,0.023339892190381985,0.012946027518527291,0.034241674571807386,0.976660107809618,0.9657583254281927,0.9870539724814726,0.5976190476190476,0.45714285714285713,0.7380952380952381,0.4944885897447124,0.3783448453751962,0.6111031237307476,0.8801718822909914,0.8513200178582756,0.9078871484072106,0.9046412765754226,0.9009784991184485,0.9102172246812702,1.1961544368546546,1.1078265997631176,1.289225094085003
resnet,deep,42,0.8672896758255235,0.8316134990468557,0.9011245868924976,0.025703617020251472,0.014483267354827762,0.037625535328067054,0.9742963829797485,0.9623744646719331,0.9855167326451721,0.6547619047619048,0.5166666666666667,0.7880952380952382,0.5518505578098997,0.43639348264603856,0.6655170261775366,0.8879028720836415,0.8648111554475748,0.9108431184657213,0.9023684250249941,0.8999426282862708,0.9061289415528111,1.2187752961248721,1.1363288652892571,1.3085327966124554
tabm,deep,42,0.8672392871709007,0.8283959302803143,0.9037508351991836,0.024279126850606042,0.013511495380058207,0.03540574576151705,0.975720873149394,0.964594254238483,0.9864885046199419,0.6190476190476191,0.4785714285714286,0.7595238095238095,0.5180296629736096,0.40119841836196607,0.6351838445001606,0.8868274603593194,0.8604843198742639,0.912629376601982,0.905129612833119,0.9006501134920715,0.9115538451956282,1.2011078037797727,1.118523949553702,1.2915378225508858
mlp,deep,42,0.8654075988184273,0.8291631670703313,0.8995883510518774,0.02411978926570855,0.013583878825299869,0.03508012794510592,0.9758802107342913,0.964919872054894,0.9864161211746999,0.638095238095238,0.5,0.7738095238095238,0.5370606555058849,0.42292077022007607,0.6502734858701615,0.8882629184174954,0.8653474118997048,0.9113150552311521,0.9049528676109946,0.9006162852089515,0.9109355195822262,1.2255032825311292,1.1405942510046463,1.3165494433946427
