dataset,model,lf_coverr,lftr_coverr,lac_coverr,lf_eps,pass_lf_plain,pass_lftr_plain,n_seeds,family
ASP-POTASSCO-classification,LogReg,0.10610038610038611,0.1033976833976834,0.029575289575289508,0.0,0.4,0.4,10,classic
ASP-POTASSCO-classification,catboost,0.1906563706563707,0.19104247104247107,0.019845559845559822,0.0,0.1,0.1,10,GBDT
ASP-POTASSCO-classification,knn,0.19498069498069498,0.19652509652509656,0.07544401544401541,0.0,0.1,0.1,10,classic
ASP-POTASSCO-classification,lightgbm,0.1556756756756757,0.15536679536679537,0.019150579150579106,0.0,0.3,0.3,10,GBDT
ASP-POTASSCO-classification,tabiclv2,0.019999999999999997,0.01652509652509653,0.014594594594594557,0.0,1.0,1.0,10,TFM
ASP-POTASSCO-classification,tabpfn3,0.013204633204633165,0.014285714285714268,0.014594594594594579,0.0,1.0,1.0,10,TFM
ASP-POTASSCO-classification,xgboost,0.10841698841698841,0.10957528957528957,0.010038610038610018,0.0,0.3,0.3,10,GBDT
kr-vs-k,LogReg,0.004326443335709207,0.004593727726300778,0.0027904490377762214,0.0,1.0,1.0,10,classic
kr-vs-k,catboost,0.009408410548823954,0.00956165359942981,0.0038382038488952498,0.0,0.7,0.7,10,GBDT
kr-vs-k,knn,0.026407697790449047,0.02674625801853172,0.0024233784746971023,0.0,0.0,0.0,10,classic
kr-vs-k,lightgbm,0.036596578759800436,0.038378474697077704,0.002387740555951512,0.0073235923022095094,0.0,0.1,10,GBDT
kr-vs-k,tabiclv2,0.020473984319315706,0.019458303635067696,0.003449750534568785,0.00115823235923018,0.0,0.0,10,TFM
kr-vs-k,tabpfn3,0.03921952957947257,0.039771917320028514,0.002769066286528865,0.00140769779044898,0.0,0.0,10,TFM
kr-vs-k,xgboost,0.0348360655737705,0.03512116892373488,0.0036600142551674875,0.027904490377761902,0.0,0.0,10,GBDT
letter,LogReg,0.004649999999999976,0.0034249999999999893,0.0043999999999999925,0.0,1.0,1.0,10,classic
letter,catboost,0.010524999999999961,0.007149999999999978,0.005124999999999968,0.081325,0.5,0.9,10,GBDT
letter,knn,0.017699999999999973,0.010124999999999985,0.007824999999999981,0.059250000000000004,0.2,0.6,10,classic
letter,lightgbm,0.0035499999999999976,0.005700000000000016,0.005099999999999993,0.0922,1.0,1.0,10,GBDT
letter,tabiclv2,0.004749999999999988,0.00022499999999998633,0.004949999999999987,0.095,1.0,1.0,10,TFM
letter,tabpfn3,0.003074999999999983,0.0002749999999999697,0.0029249999999999996,0.098325,1.0,1.0,10,TFM
letter,xgboost,0.003999999999999992,0.006850000000000023,0.006199999999999972,0.092225,1.0,1.0,10,GBDT
one-hundred-plants-margin,LogReg,0.08437499999999998,0.08406249999999997,0.01781250000000001,0.01125,0.3,0.3,10,classic
one-hundred-plants-margin,catboost,0.09843749999999996,0.09812499999999995,0.015937499999999983,0.0,0.0,0.0,10,GBDT
one-hundred-plants-margin,knn,0.061562500000000006,0.06281250000000002,0.040937499999999995,0.0,0.5,0.5,10,classic
one-hundred-plants-margin,lightgbm,0.05218750000000002,0.05625000000000001,0.013749999999999984,0.000625,0.5,0.4,10,GBDT
one-hundred-plants-margin,tabiclv2,0.016874999999999984,0.020624999999999984,0.01656249999999998,0.0040625,1.0,1.0,10,TFM
one-hundred-plants-margin,tabpfn3,0.06656249999999998,0.06531249999999998,0.009687499999999993,0.0,0.0,0.0,10,TFM
one-hundred-plants-margin,xgboost,0.09968749999999997,0.09968749999999997,0.019999999999999973,0.0,0.0,0.0,10,GBDT
texture,LogReg,0.015454545454545453,0.0021818181818182404,0.014090909090909088,0.08636363636363631,0.9,1.0,10,classic
texture,catboost,0.007727272727272738,0.0005454545454545379,0.00845454545454547,0.09227272727272724,1.0,1.0,10,GBDT
texture,knn,0.03390909090909087,0.03263636363636359,0.03336363636363633,0.0625454545454545,0.4,0.4,10,classic
texture,lightgbm,0.006454545454545424,0.0004545454545454741,0.0074545454545454585,0.10009090909090905,1.0,1.0,10,GBDT
texture,tabiclv2,0.01127272727272729,0.000181818181818183,0.011636363636363622,0.09490909090909087,0.9,1.0,10,TFM
texture,tabpfn3,0.012272727272727279,0.0006363636363636571,0.012999999999999989,0.08899999999999994,0.9,1.0,10,TFM
texture,xgboost,0.003636363636363671,0.0006363636363636127,0.0043636363636363916,0.10218181818181812,1.0,1.0,10,GBDT
