stat,level,label,n,mean,median,W,L,T,wilcoxon_p,sign_p,ci_lo,ci_hi
lftr_coverr,dataset,TFM - GBDT: lftr_coverr,113,-0.03337606991157216,-0.025763490241102187,4.0,109.0,0.0,7.300749687267079e-20,1.2863898544284663e-27,-0.03853108721565252,-0.028384659205005016
lftr_coverr,strict76,TFM - GBDT: lftr_coverr [strict units],76,-0.033978697678705934,-0.0268817451205511,4.0,72.0,0.0,8.960387825424482e-14,3.589836803538052e-17,-0.04033331312904688,-0.02777055530198854
lftr_coverr,adjusted_acc,,113,-0.029369880880902026,,,,,,,-0.03446437855758031,-0.023507996526414148
lf_coverr,dataset,TFM - GBDT: lf_coverr,113,-0.03201478847443576,-0.025081109366823673,8.0,105.0,0.0,1.6945512336865288e-19,1.0650640214744005e-22,-0.037249807543706985,-0.02702312945186242
lf_coverr,strict76,TFM - GBDT: lf_coverr [strict units],76,-0.032556645471572464,-0.025271323914181087,5.0,71.0,0.0,1.4327239669698254e-13,5.249233110119942e-16,-0.038951583185435124,-0.026346478379168068
lf_coverr,adjusted_acc,,113,-0.028438894740210198,,,,,,,-0.03348645814466266,-0.02283695306879508
pass_lf_plain,dataset,TFM - GBDT: pass_lf_plain,113,0.3445200816882233,0.3615384615384616,103.0,8.0,2.0,1.4931734272723132e-18,3.681528239938514e-22,0.3003619242114817,0.38917801225323345
pass_lf_plain,strict76,TFM - GBDT: pass_lf_plain [strict units],76,0.3451821862348178,0.3705128205128205,70.0,5.0,1.0,2.755632531589914e-13,9.817755603717254e-16,0.2922392037786775,0.39785441970310387
pass_lf_plain,adjusted_acc,,113,0.32319019119197384,,,,,,,0.26616623724337846,0.3709456611271253
pass_lf_phi,dataset,TFM - GBDT: pass_lf_phi,113,0.3445200816882233,0.3615384615384616,103.0,8.0,2.0,1.4931734272723132e-18,3.681528239938514e-22,0.3003619242114817,0.38917801225323345
pass_lf_phi,strict76,TFM - GBDT: pass_lf_phi [strict units],76,0.3451821862348178,0.3705128205128205,70.0,5.0,1.0,2.755632531589914e-13,9.817755603717254e-16,0.2922392037786775,0.39785441970310387
pass_lf_phi,adjusted_acc,,113,0.32319019119197384,,,,,,,0.26616623724337846,0.3709456611271253
pass_lftr_plain,dataset,TFM - GBDT: pass_lftr_plain,113,0.3471522577717268,0.33333333333333337,99.0,6.0,8.0,5.787936411043391e-18,8.435279808627725e-23,0.29925062400726116,0.39464601769911506
pass_lftr_plain,strict76,TFM - GBDT: pass_lftr_plain [strict units],76,0.3441392744682219,0.317948717948718,67.0,5.0,4.0,6.804507707991041e-13,6.387730835678276e-15,0.28933992834650735,0.40012595591542965
pass_lftr_plain,adjusted_acc,,113,0.3209694239313408,,,,,,,0.2594812357872728,0.3732513771300758
tau_err,dataset,TFM - GBDT: tau_err,113,-0.08871799528223695,-0.06309505430732681,10.0,103.0,0.0,3.800785837240701e-19,1.3214119981913161e-20,-0.10415667429501795,-0.07436079217337035
tau_err,strict76,TFM - GBDT: tau_err [strict units],76,-0.08452666408357974,-0.058482330570507376,7.0,69.0,0.0,3.22781277162815e-13,6.417967005513454e-14,-0.1024774520556207,-0.06686601745579861
tau_err,adjusted_acc,,113,-0.0828690676249934,,,,,,,-0.09803343734605657,-0.06714293639171075
lf_eps,dataset,TFM - GBDT: lf_eps,113,-0.0034135406013230682,-0.0013095238095238066,30.0,65.0,18.0,0.004362200560969287,0.0004247927288947456,-0.0058041159176848945,-0.0010291921589599062
lf_eps,strict76,TFM - GBDT: lf_eps [strict units],76,-0.0028652690573595374,-0.0006248447745720992,22.0,44.0,10.0,0.03938361035411038,0.00921048969455458,-0.006101271576318151,0.00040276098354536413
lf_eps,adjusted_acc,,113,-0.0059746726345947685,,,,,,,-0.008977782812563987,-0.0033468043922094707
lac_coverr,dataset,TFM - GBDT: lac_coverr,113,-0.001327787487584891,-0.0007326007326007473,44.0,69.0,0.0,0.015794429903783717,0.02353400212601001,-0.0023172884143354546,-0.00045405828742411215
lac_coverr,strict76,TFM - GBDT: lac_coverr [strict units],76,-0.0014556860504006898,-0.0007305788172569693,28.0,48.0,0.0,0.05742151722298208,0.028626655508737896,-0.002783793274835803,-0.0003039907764238814
lac_coverr,adjusted_acc,,113,-0.0016361345064896426,,,,,,,-0.002773493968349746,-0.0007551219039113807
