model,lf_coverr,lftr_coverr,lac_coverr,lf_eps,lftr_eps,lac_eps,lf_width,lf_width_fb,lftr_width,lftr_width_fb,lac_width,lac_width_fb,tau_err,lf_covbias,lftr_covbias,pass_lf_plain,pass_lf_phi,pass_lf_phiZ,pass_lftr_plain,pass_lftr_phi,pass_lac_plain,pass_lac_phi,acc,family
tabfm,0.01555347283798777,0.013386043749707107,0.012830270873548495,0.03983587047956773,0.040842909834030154,0.034521750541888975,1.166730505683101,1.2065663761626688,1.1663374986046247,1.2071804084386548,1.2002061970091458,1.2347279475510349,0.02983379886213653,-0.00896895339851509,-0.010086645999259706,0.9185840707964602,0.9185840707964602,0.9238938053097345,0.9345132743362832,0.9345132743362832,0.9637168141592921,0.9637168141592921,0.855764963993336,TFM
tabpfn3,0.01453190883171354,0.011282093619934517,0.012818790206079246,0.03528198745532182,0.036328442381295865,0.03189908449594976,1.2002562281670976,1.2355382156224195,1.2005476546316565,1.2368760970129522,1.2208860285646363,1.252785113060586,0.02815585417293865,-0.004471249977617478,-0.00523642381582656,0.9283185840707965,0.9283185840707965,0.9362831858407079,0.9522123893805309,0.9522123893805309,0.9566371681415928,0.9566371681415928,0.8483977520117424,TFM
tabiclv2,0.014334712647917247,0.010978857076368623,0.012256131593292153,0.036466044388051455,0.03695338269806455,0.03265559869955274,1.1868861806509863,1.2233522250390378,1.1878649695383043,1.2248183522363687,1.2176282881066862,1.250283886806239,0.028785996152236353,-0.008000516072333187,-0.008244766470888648,0.9513274336283186,0.9513274336283186,0.9601769911504425,0.9663716814159292,0.9663716814159292,0.9681415929203541,0.9681415929203541,0.8485592012282972,TFM
tabpfn26,0.013798146904709372,0.01134962750847713,0.012253324388734834,0.03459516201073972,0.03468948090719457,0.032115233966229485,1.2033661205083503,1.23796128251909,1.2040817720239647,1.2387712529311594,1.2234739255237053,1.2555891594899344,0.02937373953451093,-0.004884344020768048,-0.005153356624018859,0.9380530973451328,0.9380530973451328,0.9460176991150443,0.9592920353982302,0.9592920353982302,0.9672566371681416,0.9672566371681416,0.8471692042638292,TFM
tabpfn25,0.013826194466748152,0.01075004642048068,0.012011882422556158,0.03387206185906128,0.03500477796457458,0.031592010243688705,1.2065648431832363,1.2404369050422979,1.206608622387627,1.2416134003522015,1.225842347614307,1.2574343578579956,0.027950584288455704,-0.004260565831980822,-0.0049479047336334035,0.9451327433628318,0.9451327433628318,0.9477876106194689,0.9584070796460177,0.9584070796460177,0.9681415929203541,0.9681415929203541,0.8463129784301106,TFM
tabpfn25b,0.013819263386725126,0.010674965404865207,0.012001401425209545,0.03387455860791713,0.034829088735109384,0.03150076876663696,1.2080765940855367,1.2419511526934537,1.2076742259636133,1.2425033146987228,1.227611205233399,1.2591119740000358,0.027786008400463382,-0.0043644594043463275,-0.0051386475778108535,0.9415929203539823,0.9415929203539823,0.9460176991150443,0.9566371681415928,0.9566371681415928,0.9716814159292035,0.9716814159292035,0.845580040635978,TFM
PFN-v2,0.014228002604913303,0.01135084132775793,0.012196160960445174,0.033334320544887955,0.03353028938479867,0.031240932084230292,1.2216825335435335,1.2550168540884215,1.2224851616377186,1.2560154510225174,1.2336149066287332,1.2648558387129636,0.027776373494251598,-0.004086878562377954,-0.004123414841919025,0.9477876106194689,0.9477876106194689,0.9557522123893806,0.9663716814159292,0.9663716814159292,0.9699115044247787,0.9699115044247787,0.8432107688750338,TFM
tabicl,0.014307438564061496,0.01139589076521327,0.012358490706360773,0.0342843968739329,0.03450724508288962,0.03101795460539573,1.2082490497524028,1.2425334466263358,1.2080486656421814,1.2425559107250708,1.2342340333389017,1.2652519879442974,0.03131310228357269,-0.00683190954013238,-0.007258228582866206,0.9300884955752212,0.9300884955752212,0.9371681415929204,0.9566371681415928,0.9566371681415928,0.9584070796460177,0.9584070796460177,0.8426660475822225,TFM
exaone,0.011881467275459235,0.008374468463164154,0.01239745835553846,0.034200447156142365,0.03408242496420329,0.032837414452037854,1.2103306222639416,1.2445310694200842,1.2112631270188439,1.2453455519830472,1.2120584330814397,1.2448958475334775,0.019764500750311834,0.0003026770021964032,0.00014229316683250323,0.9433628318584071,0.9433628318584071,0.9486725663716814,0.9663716814159292,0.9663716814159292,0.9690265486725663,0.9690265486725663,0.8501323874644299,TFM
tabldm,0.01187574367970566,0.008412570344589322,0.012360543200685954,0.03334185981798963,0.03355721723776767,0.032354704355724066,1.2220664732517734,1.255408333069763,1.2227297322853448,1.2562869495231122,1.2202303644846564,1.2525850688403803,0.01829248055551955,0.0012921953777017586,0.0010150621249661262,0.9584070796460177,0.9584070796460177,0.9672566371681416,0.9734513274336283,0.9734513274336283,0.9646017699115044,0.9646017699115044,0.84733106297747,TFM
