model,const_coverr_apsr,absq_apsr,constdet_coverr,acc,family
tabfm,0.008503290833840958,0.012808111524668151,0.08240260933070723,0.855764963993336,TFM
tabpfn3,0.00791354949819644,0.012486262682890124,0.08290908706204153,0.8483977520117424,TFM
tabiclv2,0.008128667034652709,0.01239234190288098,0.08182913135138774,0.8485592012282972,TFM
tabpfn26,0.008216316304856376,0.012530501152888576,0.08281600798787332,0.8471692042638292,TFM
tabpfn25,0.007662811859746983,0.012452542917848987,0.08310773732649657,0.8463129784301106,TFM
tabpfn25b,0.007633816001726864,0.012257139161862555,0.08305210404110659,0.845580040635978,TFM
PFN-v2,0.008213469920139712,0.012907954875800612,0.08283599121492213,0.8432107688750338,TFM
tabicl,0.008153189355464534,0.012539286576339022,0.08200386907473019,0.8426660475822225,TFM
exaone,0.005986960353861704,0.011000488477045335,0.08490310972564115,0.8501323874644299,TFM
tabldm,0.005914619820958651,0.010921189259387475,0.08557077423363012,0.84733106297747,TFM
mitra@v2,0.00637693884157438,0.011536358063498774,0.0857767788873613,0.8470718059887928,TFM
mitra,0.009791680802464868,0.013923100101220512,0.08635963156482601,0.8288993139218487,TFM
tabpfn,0.013591773259724481,0.016362506558531973,0.0772734174813704,0.8260237682649925,TFM
catboost,0.043404396269447094,0.036089845545210275,0.06834255967534487,0.8259121024371857,GBDT
lightgbm,0.030594948033443207,0.029246430970551258,0.07538251599045104,0.8234111679523188,GBDT
xgboost,0.03894113217616234,0.06779421780077165,0.07944155870100651,0.8242159253436816,GBDT
tabm,0.014472005600532465,0.01708349818618341,0.07992872222745392,0.816909863036007,deep
ftt,0.020454151153005265,0.024257895345033312,0.07724597547976315,0.8151648973678222,deep
resnet,0.0359246637459961,0.03232348267138957,0.07359716124221781,0.8140982811951473,deep
mlp,0.032424064769636336,0.029803254324734425,0.07192162424706794,0.8114951371964957,deep
LogReg,0.011187834252360411,0.016222468373282315,0.0804519548198355,0.7982721673629821,classic
knn,0.027422077919755344,0.0342398116666206,0.07783717983427343,0.7918154720438098,classic
