model,ks_pit_raw,ks_pit_T,pit_pass_raw,pit_pass_T,absq_apsr,apsrT_q_minus_1ma,acc,family
tabfm,0.03732961913963193,0.05165176568183039,0.9026548672566371,0.9256637168141593,0.012808111524668151,0.0019182038204197242,0.855764963993336,TFM
tabpfn3,0.03701310219615011,0.05170850116530039,0.904424778761062,0.9168141592920354,0.012486262682890124,0.0019037897645611005,0.8483977520117424,TFM
tabiclv2,0.037268832040565546,0.051607148494757955,0.9035398230088495,0.9194690265486726,0.01239234190288098,0.0018300248828450813,0.8485592012282972,TFM
tabpfn26,0.03753117331927934,0.05128862575232695,0.8911504424778761,0.9194690265486726,0.012530501152888576,0.001727745409487952,0.8471692042638292,TFM
tabpfn25,0.037321028483561655,0.05161605145950303,0.9035398230088495,0.9221238938053098,0.012452542917848987,0.001953898240916308,0.8463129784301106,TFM
tabpfn25b,0.03716462620487667,0.05157101533160772,0.9070796460176991,0.9283185840707965,0.012257139161862555,0.002143338878772704,0.845580040635978,TFM
PFN-v2,0.03784037571962294,0.05104497953035286,0.8955752212389381,0.9238938053097345,0.012907954875800612,0.0017557624052452847,0.8432107688750338,TFM
tabicl,0.0371842591818464,0.05176496977502706,0.8876106194690265,0.923008849557522,0.012539286576339022,0.0022242809169985564,0.8426660475822225,TFM
exaone,0.03614454727488811,0.05164815969934449,0.9194690265486726,0.9168141592920355,0.011000488477045335,0.0021536987237527005,0.8501323874644299,TFM
tabldm,0.03637905500963568,0.0513507475036174,0.9176991150442478,0.927433628318584,0.010921189259387475,0.002167375535429806,0.84733106297747,TFM
mitra@v2,0.03687458344025385,0.05143858827246283,0.911504424778761,0.9203539823008849,0.011536358063498774,0.001764289209446294,0.8470718059887928,TFM
mitra,0.039781681457369863,0.05140397952341951,0.8486725663716814,0.9212389380530974,0.013923100101220512,0.0016240779279586498,0.8288993139218487,TFM
tabpfn,0.04186467908371603,0.05133494255144992,0.8053097345132744,0.9203539823008849,0.016362506558531973,0.0016976329310516472,0.8260237682649925,TFM
catboost,0.07134642998217597,0.05215943195529581,0.5221238938053098,0.9150442477876106,0.036089845545210275,0.0012292350577286636,0.8259121024371857,GBDT
lightgbm,0.06057723648062111,0.052399683296177946,0.6548672566371682,0.9185840707964602,0.029246430970551258,0.0023195550813003294,0.8234111679523188,GBDT
xgboost,0.10167031131538823,0.06697783823188336,0.5584070796460177,0.8690265486725663,0.06779421780077165,-0.011901549316354648,0.8242159253436816,GBDT
tabm,0.04361339514069761,0.05183513501378892,0.8,0.9212389380530973,0.01708349818618341,0.001480485641265365,0.816909863036007,deep
ftt,0.05239225078413112,0.05248147510136434,0.7380530973451328,0.9132743362831859,0.024257895345033312,0.0021080136532788205,0.8151648973678222,deep
resnet,0.06332939469431174,0.0541910753579791,0.6008849557522125,0.904424778761062,0.03232348267138957,-0.0006552071518093158,0.8140982811951473,deep
mlp,0.06015956883460922,0.05627250315725756,0.6256637168141593,0.8725663716814159,0.029803254324734425,-0.002930295128379408,0.8114951371964957,deep
LogReg,0.042190465672541165,0.05407785345551081,0.8407079646017699,0.8876106194690265,0.016222468373282315,-0.0007790804984882762,0.7982721673629821,classic
knn,0.06186134723866369,0.11464792685448787,0.6530973451327433,0.54070796460177,0.0342398116666206,-0.01630372509396108,0.7918154720438098,classic
