model,apsdet_cov,apsdet_Phat,apsdet_R,apsdet_absR,apsdet_width,apsdet_width_fb,apsmapie_cov,apsmapie_Phat,apsmapie_R,apsmapie_absR,apsmapie_width,apsmapie_width_fb,raps_cov,raps_Phat,raps_R,raps_absR,raps_width,raps_width_fb,lac_cov,lac_Phat,lac_R,lac_absR,lac_width,lac_width_fb,acc,family
tabfm,0.9991218554398482,0.9993075618529057,-0.00018570641305750492,0.0002458992823600451,2.3991095048648954,2.3991095048648954,0.9846579417037986,0.9879505722507331,-0.0032926305469344673,0.005013839078481321,1.4995951649212163,1.4995951649212163,0.9864070817823157,0.9891855775978543,-0.002778495815538621,0.004455893975564259,1.5295427109167234,1.5295427109167234,0.9025977015116755,0.9098658373722495,-0.007268135860573961,0.010299827258887737,1.2002061970091458,1.2347279475510349,0.855764963993336,TFM
tabpfn3,0.9989168158188886,0.9989656683574989,-4.885253861028935e-05,0.00023666644943676486,2.247901925021113,2.247901925021113,0.9843021951322548,0.986622322507664,-0.002320127375409188,0.005422976241467739,1.5335626820400678,1.5335626820400678,0.986070820199691,0.9880614917138216,-0.0019906715141307318,0.004913301735447427,1.5646739714379032,1.5646739714379032,0.9034468221033126,0.9078606754500392,-0.004413853346726564,0.01015037164658075,1.2208860285646363,1.252785113060586,0.8483977520117424,TFM
tabiclv2,0.9989265095158552,0.9990942656613819,-0.00016775614552669654,0.00027498422726364566,2.4118329772464056,2.4118329772464056,0.9840997624033353,0.986960966872102,-0.0028612044687665495,0.004770750776581275,1.528260648289733,1.528260648289733,0.9858858685827012,0.9883478039864825,-0.0024619354037811736,0.004335090142531964,1.558445845630265,1.558445845630265,0.901663912837278,0.9085866191796275,-0.0069227063423495175,0.009883366674640934,1.2176282881066862,1.250283886806239,0.8485592012282972,TFM
tabpfn26,0.9989199755291475,0.9990435467560641,-0.00012357122691648026,0.0002788001881378236,2.411979190360251,2.411979190360251,0.9843361153783171,0.9860501850224332,-0.0017140696441160152,0.005369578197964953,1.542888168026593,1.542888168026593,0.986150785190898,0.9875189907435459,-0.0013682055526478792,0.004891970872970544,1.572899408393427,1.572899408393427,0.9018892365046344,0.9059913584948527,-0.004102121990218308,0.010931265409561316,1.2234739255237053,1.2555891594899344,0.8471692042638292,TFM
tabpfn25,0.9986619675478976,0.9988548903930233,-0.00019292284512576724,0.0003663997059328304,2.420911537815543,2.420911537815543,0.9845395729505113,0.9859472650551153,-0.0014076921046040113,0.004935882676535653,1.5460177302113645,1.5460177302113645,0.9865027937130609,0.9875573159851688,-0.0010545222721080791,0.004523556781896858,1.5759442754906754,1.5759442754906754,0.9022544130329565,0.9059849252870913,-0.0037305122541349024,0.010108746900434088,1.225842347614307,1.2574343578579956,0.8463129784301106,TFM
tabpfn25b,0.9986294471793591,0.9988656607337961,-0.00023621355443708867,0.00038852582221198564,2.412931060409211,2.412931060409211,0.9844253560623497,0.9859756864763299,-0.001550330413980232,0.004910065737066292,1.546159876376259,1.546159876376259,0.986346851463683,0.9875482709367149,-0.0012014194730320387,0.004632167456732839,1.5742305830868344,1.5742305830868344,0.902105985863217,0.9061774075584361,-0.004071421695219184,0.010137619826039591,1.227611205233399,1.2591119740000358,0.845580040635978,TFM
PFN-v2,0.9985505474895584,0.9986293878984382,-7.884040887984762e-05,0.0004013771812422471,2.396497462211966,2.396497462211966,0.9839201448773321,0.9850003372147684,-0.0010801923374362669,0.005322267355446684,1.558694576289505,1.558694576289505,0.9857399522830846,0.9866282015549334,-0.000888249271848889,0.005025143604368898,1.5838667772268356,1.5838667772268356,0.9010585637512156,0.903861797804208,-0.0028032340529922976,0.011043750923493587,1.2336149066287332,1.2648558387129636,0.8432107688750338,TFM
tabicl,0.9990273742701448,0.9991177607978837,-9.038652773896696e-05,0.00030183184074548323,2.4103302604237733,2.4103302604237733,0.9836990918656063,0.9863236638688134,-0.0026245720032070483,0.00507445616896291,1.551890369620804,1.551890369620804,0.9856971285052613,0.9877735994015701,-0.002076470896308814,0.004500277489232831,1.5850650014415972,1.5850650014415972,0.9020704067432886,0.9079346653770753,-0.005864258633786695,0.010673426283502558,1.2342340333389017,1.2652519879442974,0.8426660475822225,TFM
exaone,0.9988999471635026,0.9987582478146632,0.00014169934883941855,0.000273956170153503,2.387173613487163,2.387173613487163,0.985127116622697,0.9847472728967303,0.00037984372596668546,0.004348454921303868,1.536212451746754,1.536212451746754,0.9870809767691562,0.98647697005313,0.0006040067160263228,0.003986707213450383,1.5717637765160473,1.5717637765160473,0.9018285796842465,0.900752973260009,0.0010756064242374165,0.008269231455085709,1.2120584330814397,1.2448958475334775,0.8501323874644299,TFM
tabldm,0.9988803749861614,0.9987141292758869,0.00016624571027463073,0.0002966227824787267,2.3949328509175034,2.3949328509175034,0.9855674165329561,0.9843626086618636,0.001204807871092454,0.004006058493596439,1.5478097311068721,1.5478097311068721,0.9872327834822627,0.9860343681054747,0.0011984153767879426,0.003732430495155815,1.5798348799686275,1.5798348799686275,0.9016363570725222,0.8996847435944914,0.0019516134780309495,0.008494477317447503,1.2202303644846564,1.2525850688403803,0.84733106297747,TFM
