model,R_apsdet,R_apsrand,apsdet_cov,apsrand_cov,apsdet_L,apsdet_width,apsrand_width,apsdet_widthfb,apsrand_widthfb,apsrand_eps,block
LogReg,0.08019675761808351,0.0021421145098177484,0.981103843799974,0.9030492006917082,0.9009070861818904,1.7279600305485068,1.4739937543189034,1.7279600305485068,1.5045193728032926,0.030525618484389047,F1 all
PFN-v2,0.0830130586954418,0.00013022075196159259,0.9839201448773321,0.901037306933852,0.9009070861818904,1.558694576289505,1.3272002640584946,1.558694576289505,1.371880636539794,0.044680372481299316,F1 all
catboost,0.07231964992342847,0.000903413123711761,0.9732267361053188,0.9018104993056021,0.9009070861818904,1.547353851869544,1.3528122791518529,1.547353851869544,1.390337335943528,0.03752505679167508,F1 all
exaone,0.08421513299096493,0.00014987536954633445,0.9851222191728554,0.9010569615514368,0.9009070861818904,1.5361541804598406,1.307178089658314,1.5361541804598406,1.3543667489244793,0.04718865926616531,F1 all
ftt,0.07798701230000012,0.0009142602379240693,0.9788940984818906,0.9018213464198146,0.9009070861818904,1.621324048918548,1.3922219672180576,1.621324048918548,1.4282370291596558,0.036015061941598224,F1 all
knn,0.06697288404417501,0.010505429058701447,0.9720262569090028,0.9155588019235292,0.9050533728648277,1.6975969465995344,1.6243663898905274,1.6975969465995344,1.6466183386817148,0.022251948791187363,F1 all
lightgbm,0.0748484208234329,0.0002545199536272383,0.9759310131041603,0.9013371122343546,0.9010825922807273,1.5821766102667405,1.3635515209057911,1.5821766102667405,1.4001800543801228,0.036628533474331586,F1 all
mitra,0.08443158453684925,0.00044291294497834373,0.9853386707187396,0.9013499991268689,0.9009070861818904,1.6295303896053495,1.3774857798420115,1.6295303896053495,1.4197018432262587,0.042216063384247424,F1 all
mitra@v2,0.08472247259892163,0.000683762698083381,0.985629558780812,0.9015908488799738,0.9009070861818904,1.5557391064377573,1.3204455750815012,1.5557391064377573,1.3668859242713616,0.04644034918986048,F1 all
mlp,0.07296656982025994,0.0019011088609426586,0.9738788813840698,0.9028134204247524,0.9009123115638099,1.6279903596581504,1.4354033905438317,1.6279903596581504,1.4683056419938962,0.03290225145006465,F1 all
resnet,0.07221895892713624,0.0003625642735238233,0.9732558734193733,0.9013994787657608,0.901036914492237,1.6323798419011897,1.4135101623792272,1.6323798419011897,1.4484598635485646,0.03494970116933725,F1 all
tabfm,0.0837508555219082,0.0005255296651511924,0.9846579417037986,0.9014326158470416,0.9009070861818904,1.4995951649212163,1.2868274277532843,1.4995951649212163,1.3354385739656722,0.04861114621238811,F1 all
tabicl,0.08279289598125336,0.000582204629772491,0.9836999821631438,0.901489290811663,0.9009070861818904,1.551896699862617,1.3265540802671876,1.551896699862617,1.3712823421729294,0.04472826190574201,F1 all
tabiclv2,0.08319364550485371,0.0004251557357714228,0.9841007316867442,0.9013322419176619,0.9009070861818904,1.5282757929039739,1.3072124991353382,1.5282757929039739,1.3534659457842861,0.046253446648947864,F1 all
tabldm,0.08465942944396801,6.960581006885586e-05,0.9855665156258584,0.9009766919919593,0.9009070861818904,1.547819007098112,1.3151962777357518,1.547819007098112,1.361523638089817,0.04632736035406541,F1 all
tabm,0.08082992548833577,0.0009790197112848576,0.9817370116702262,0.9018861058931753,0.9009070861818904,1.63556342332478,1.3997061868231506,1.63556342332478,1.4379134871219696,0.038207300298819115,F1 all
tabpfn,0.08037182399791198,0.000963034529615174,0.9812789101798024,0.9018701207115055,0.9009070861818904,1.5979599914483171,1.3728953282735392,1.5979599914483171,1.4135395215409814,0.04064419326744197,F1 all
tabpfn25,0.08363248676862095,0.00034725297841155256,0.9845395729505113,0.901254339160302,0.9009070861818904,1.5460177302113645,1.3186221623526115,1.5460177302113645,1.3643099357411699,0.04568777338855846,F1 all
tabpfn25b,0.08351826988045928,0.0002699721105679201,0.9844253560623497,0.9011770582924583,0.9009070861818904,1.546159876376259,1.3190885244033135,1.546159876376259,1.3646713340751826,0.045582809671868924,F1 all
tabpfn26,0.08342902919642675,0.0006549993603454861,0.9843361153783171,0.9015620855422358,0.9009070861818904,1.542888168026593,1.3170091311960543,1.542888168026593,1.3630353177847396,0.046026186588685215,F1 all
tabpfn3,0.08339510895036441,0.0008272804837342222,0.9843021951322548,0.9017343666656247,0.9009070861818904,1.5335626820400678,1.3113985624943472,1.5335626820400678,1.3578258625289212,0.04642730003457416,F1 all
xgboost,0.07271641942752605,-0.00023730939163605686,0.9740482101881773,0.9010944813690153,0.9013317907606514,1.590434927827547,1.3739083675318877,1.590434927827547,1.4082118983458984,0.03430353081401081,F1 all
