score,alpha,block,model,family,n_datasets,mean_residual,ci_lo,ci_hi,max_abs_dataset_residual,verdict
LAC,0.1,all,LogReg,classic,216,0.0003030811299735262,-0.0010584622033745085,0.0016664857449689757,0.04215686274509785,CERTIFIED
LAC,0.1,all,PFN-v2,TFM,207,3.6182781464170894e-05,-0.001387271752857272,0.0014500878470084537,0.042341337907375674,CERTIFIED
LAC,0.1,all,catboost,GBDT,215,0.00040944653134824594,-0.0008950311233965589,0.0017347716846428324,0.030099152960047847,CERTIFIED
LAC,0.1,all,exaone,TFM,156,0.0002457158812655971,-0.0015827945819325963,0.002168993863947155,0.03915951972555749,CERTIFIED
LAC,0.1,all,ftt,deep,208,0.00011256551389854948,-0.0010988663091350604,0.0013392115684415673,0.03669219528036379,CERTIFIED
LAC,0.1,all,knn,classic,216,8.024882375625499e-05,-0.0010563991699979668,0.0012831607825727752,0.035865955144232534,CERTIFIED
LAC,0.1,all,lightgbm,GBDT,216,0.00016321424083735598,-0.001142449875906771,0.0015024610465848652,0.03307629870129884,CERTIFIED
LAC,0.1,all,mitra,TFM,206,0.00011909082371460592,-0.0011911301832452238,0.0014366480666893097,0.03779588336192112,CERTIFIED
LAC,0.1,all,mitra@v2,TFM,206,0.00032638820708855707,-0.0010401971886460602,0.0017435484602851517,0.03209914411517332,CERTIFIED
LAC,0.1,all,mlp,deep,208,0.0006039554499139683,-0.0006854659789190595,0.0019245417914279931,0.03808506224066387,CERTIFIED
LAC,0.1,all,resnet,deep,207,0.0003444938920572664,-0.0009176250907838608,0.0016256061574236808,0.03358506224066388,CERTIFIED
LAC,0.1,all,tabfm,TFM,205,-2.6308165525154513e-05,-0.001489203888475644,0.001478016431866011,0.030576298701298833,CERTIFIED
LAC,0.1,all,tabicl,TFM,214,0.0004699771972625883,-0.0008997780696485926,0.0018927257886327585,0.03505208333333336,CERTIFIED
LAC,0.1,all,tabiclv2,TFM,216,5.873303352128167e-05,-0.001237378026659089,0.001388673924360948,0.026770833333333376,CERTIFIED
LAC,0.1,all,tabldm,TFM,207,0.00011141360151942514,-0.0012249289644196948,0.0015047338769454395,0.032864583333333384,CERTIFIED
LAC,0.1,all,tabm,deep,208,0.0005607653055427033,-0.0006949854231288768,0.0018365231472926105,0.03205509850617024,CERTIFIED
LAC,0.1,all,tabpfn,TFM,205,0.0002418642038366476,-0.0010522439748130203,0.0015317763670896368,0.03208506224066389,CERTIFIED
LAC,0.1,all,tabpfn25,TFM,207,0.0003415850748283336,-0.0010909465477312221,0.0017737998536757212,0.04325042881646657,CERTIFIED
LAC,0.1,all,tabpfn25b,TFM,207,0.00016947420255457012,-0.0012457128519671235,0.0015944406415479122,0.0459777015437393,CERTIFIED
LAC,0.1,all,tabpfn26,TFM,207,0.00023554838463192657,-0.0012061990458614124,0.001700386373626526,0.037200880407264734,CERTIFIED
LAC,0.1,all,tabpfn3,TFM,216,0.0006832848668816273,-0.0006742162364643452,0.002071584179690675,0.03273815869214418,CERTIFIED
LAC,0.1,all,xgboost,GBDT,216,0.0001483252957931123,-0.0012216166028671772,0.00152625653640198,0.03552315608919384,CERTIFIED
LAC,0.05,all,LogReg,classic,216,0.000349002701046103,-0.0006799172987445905,0.0014028334783515904,0.02458226331107697,CERTIFIED
LAC,0.05,all,PFN-v2,TFM,207,-2.244453209646829e-05,-0.001054306409628209,0.0010020798532992417,0.03139794168096066,CERTIFIED
LAC,0.05,all,catboost,GBDT,215,9.564877722969978e-05,-0.0008544407787314293,0.0010611455577264639,0.024124539943710922,CERTIFIED
LAC,0.05,all,exaone,TFM,156,-0.00015715267784128484,-0.0015294761052977485,0.0012739911956438034,0.026274509803921663,CERTIFIED
LAC,0.05,all,ftt,deep,208,3.7310636156616704e-05,-0.0009194107070139005,0.0009672753103403439,0.02916486252435605,CERTIFIED
LAC,0.05,all,knn,classic,216,0.00021641959035539088,-0.0005911433195134896,0.001020374829696599,0.02171539479231771,CERTIFIED
LAC,0.05,all,lightgbm,GBDT,216,0.0003004437915829983,-0.0007135909091562703,0.0013088590874444307,0.024930991556614122,CERTIFIED
LAC,0.05,all,mitra,TFM,206,0.00027740733392078487,-0.0007873576145779491,0.0013713888288050253,0.024836476486034875,CERTIFIED
LAC,0.05,all,mitra@v2,TFM,206,-0.00019386396003432492,-0.0012982221018417355,0.0008984876246975345,0.029769701234033486,CERTIFIED
LAC,0.05,all,mlp,deep,208,6.756373649778109e-05,-0.0008527822328699585,0.0009856077515308565,0.021906798008227046,CERTIFIED
LAC,0.05,all,resnet,deep,207,7.736881984192069e-05,-0.000834216936687894,0.0010032452874272108,0.02179253112033197,CERTIFIED
LAC,0.05,all,tabfm,TFM,205,-0.0005272805583175338,-0.0016558403847016713,0.0005953830827547374,0.03400357220177541,CERTIFIED
LAC,0.05,all,tabicl,TFM,214,0.0003420649573587673,-0.0006575177933433335,0.0013520900469420885,0.02372131413725932,CERTIFIED
LAC,0.05,all,tabiclv2,TFM,216,-6.989059566979247e-05,-0.001099209097587731,0.0010033858952853796,0.028560023814678627,CERTIFIED
LAC,0.05,all,tabldm,TFM,207,-0.00012754484285875103,-0.0011384662600070169,0.0009103783737794523,0.02714873349209802,CERTIFIED
LAC,0.05,all,tabm,deep,208,0.00031534414353426424,-0.00069242947817413,0.0012943772049956695,0.029971314137259297,CERTIFIED
LAC,0.05,all,tabpfn,TFM,205,9.844170875752359e-05,-0.0009376556885925776,0.0011327406574949315,0.027083194675540778,CERTIFIED
LAC,0.05,all,tabpfn25,TFM,207,0.00023174986024804636,-0.0008008553045816871,0.0012879095548416677,0.026745507685646396,CERTIFIED
LAC,0.05,all,tabpfn25b,TFM,207,0.00024220228923187785,-0.0008113708756800808,0.0013024489028207631,0.025483194675540798,CERTIFIED
