model,family,n_units,mean_residual,ci_lo,ci_hi,verdict
tabiclv2,TFM,168,-0.0005885388248420059,-0.0020529196156217414,0.0008499228228730397,CERTIFIED
tabfm,TFM,160,-0.0005850946640657227,-0.0022176474402071512,0.0010417862011346314,CERTIFIED
exaone,TFM,119,-0.0003019166472966742,-0.0024549490610968248,0.0017963922103695438,CERTIFIED
tabldm,TFM,162,-0.0002821284233043958,-0.0018292668100454066,0.0012487282578975746,CERTIFIED
lightgbm,GBDT,168,-0.0002760841518587136,-0.0017373972728968355,0.0011200562756745016,CERTIFIED
PFN-v2,TFM,162,-0.000249529342002972,-0.001830884613345662,0.0013402149994431415,CERTIFIED
tabpfn25b,TFM,162,-0.00024367129682985794,-0.0018508352674568302,0.0013747662095134766,CERTIFIED
ftt,deep,162,-0.0002165010416979327,-0.001605190902651788,0.0011290573981837995,CERTIFIED
xgboost,GBDT,168,-0.00019702988016398007,-0.0017772854870730106,0.0013071583669996554,CERTIFIED
tabpfn25,TFM,162,-0.0001596122124952348,-0.0017115996416085329,0.0014315587569045333,CERTIFIED
LogReg,classic,168,-0.00013185341761199853,-0.0017153808906167224,0.0014374480501435968,CERTIFIED
mitra@v2,TFM,161,-9.066428930312403e-05,-0.001697591107048778,0.0014909716830550986,CERTIFIED
tabpfn26,TFM,162,-2.1355973697936917e-05,-0.0015897115156930362,0.0015531308061397708,CERTIFIED
tabpfn,TFM,160,-2.0639094407827896e-05,-0.0014577595055661641,0.0014574037459423722,CERTIFIED
mitra,TFM,161,5.095700695432258e-05,-0.00146284700434974,0.0015470794678956459,CERTIFIED
resnet,deep,161,7.367979113867628e-05,-0.001376837567162306,0.0014774287298625344,CERTIFIED
catboost,GBDT,168,0.00011308324435608052,-0.0013522566193665735,0.0015383427451273555,CERTIFIED
knn,classic,168,0.00014798972664876734,-0.001155684174569086,0.0014412603954296222,CERTIFIED
mlp,deep,162,0.00019098176689400035,-0.0012174820403187125,0.0015867490707143594,CERTIFIED
tabicl,TFM,168,0.00027810044734510213,-0.001291838885312765,0.001859950869593537,CERTIFIED
tabpfn3,TFM,168,0.0002947642287976457,-0.0012658246040962576,0.0018230163932302307,CERTIFIED
tabm,deep,162,0.0003311360147879583,-0.0011087245462526076,0.0017741111497872198,CERTIFIED
