metric,alpha_s,observed_gap,informative_datasets,informative_units,10,20,30,50,power_obs_D10,power_obs_D20,power_obs_D30,power_obs_D50,D_at_power80,max_power
accuracy,-,0.0198807267277648,113,76,0.0182158620027592,0.0153518613848491,0.014017806126222,0.0125008561950412,0.92,1.0,1.0,1.0,8.523076923076925,1.0
brier,-,-0.0490175911108058,113,76,0.0479761684883056,0.0303260604780202,0.0221717553865339,0.0142550702320322,0.9975,1.0,1.0,1.0,7.015625,1.0
cov,0.02,-0.0001245785759678,113,76,0.004353720164853,0.0024237479908059,0.0018855909515272,0.0013352554603869,0.06,0.05,0.08,0.0425,,
cov,0.05,-0.0001273758838841,113,76,0.0078670373573825,0.0042897136617265,0.0030125937538395,0.0021440083555952,0.025,0.02,0.025,0.0075,,
cov,0.1,-0.0006623371663254,113,76,0.0108672821826758,0.0056546854964745,0.0040939909840985,0.0027096190097086,0.04,0.0275,0.0325,0.015,,0.04
cov,0.2,-0.0018159432876617,113,76,0.0224867346359367,0.0078121940069474,0.0054181162923234,0.003836939999934,0.0575,0.1125,0.13,0.2325,,
eps,0.02,0.000574880105784,29,23,,,0.0015571336620097,0.0008051992281065,0.0025,0.08,0.1225,0.2375,,0.55
eps,0.05,0.0018014060929021,42,31,,0.0050599049780707,0.0031416148902208,0.0023996347619014,0.02,0.13,0.2425,0.3725,71.1304347826087,0.94
eps,0.1,0.005378173251154,62,47,0.0170802974536265,0.0069894886715432,0.0056670030875408,0.0052950616350446,0.1525,0.435,0.72,0.99,36.0,1.0
eps,0.2,0.0100990593560236,92,63,0.0140181276372977,0.0100116689494939,0.0088602919617927,0.0068872962433442,0.4225,0.82,0.9625,1.0,19.30434782608696,1.0
nll,-,-0.1461984854418592,113,76,0.2182815248066878,0.0846134301136339,0.0570703575861471,0.0295304137444552,1.0,1.0,1.0,1.0,6.448979591836735,1.0
width,0.02,-0.0891683577566054,113,76,0.1813414911385288,0.0632035881475137,0.0338798694200876,0.0165272399009259,0.94,1.0,1.0,1.0,,
width,0.05,-0.0692139929601247,113,76,0.1250644079266539,0.0645037140991943,0.0463012324061902,0.0285786497898516,0.905,1.0,1.0,1.0,,
width,0.1,-0.0564177216881648,113,76,0.1012865069629434,0.0698564458735468,0.0479003217293784,0.0171915528939554,0.8775,1.0,1.0,1.0,9.074626865671643,1.0
width,0.2,-0.0448277190204614,113,76,0.0993707319724593,0.0650728900719457,0.039444315667237,0.007602131023587,0.8375,1.0,1.0,1.0,,
width_fb,0.02,-0.0885934776508213,111,75,0.176033341199002,0.0617517081029206,0.0331258602918868,0.0161244022744343,0.915,1.0,1.0,1.0,,
width_fb,0.05,-0.0674125868672226,96,66,0.1232485151948369,0.0679178587718687,0.0400726189291225,0.0250303361961714,0.8775,1.0,1.0,1.0,,
width_fb,0.1,-0.0510395484370108,83,55,0.1314099805537883,0.0666105440712445,0.0481295061090776,0.0273601277660336,0.8675,0.995,1.0,1.0,9.25,1.0
width_fb,0.2,-0.0347286596644377,48,37,,0.0639889246328065,0.0487784034071878,0.0198098097439763,0.2875,0.815,0.9675,1.0,,
