scope,metric,n_rows,n_datasets,zero_diff_share,med_se_ratio,med_se_ratio_q25,med_se_ratio_q75,sep_point_t2,sep_point_t39,sep_seed_t2,sep_seed_t39,sep_combined_t2,sep_combined_t39,sep_seed_minus_point_t2
"all pairs (113 datasets, 231 pairs)",accuracy,26103,113,0.014481094127111826,0.47358027839276035,0.3439178840699517,0.6525211074902397,0.4854614412136536,0.22936060989158336,0.6875838026280504,0.4840822893920239,0.42412749492395513,0.1898632341110217,0.20212236141439682
"all pairs (113 datasets, 231 pairs)",brier,26103,113,0.0,0.4386039187938006,0.2606993751460358,0.8591409998635353,0.6728345400911773,0.44075393632915755,0.8117457763475463,0.624640845879784,0.5931502126192392,0.29655595142320806,0.13891123625636903
"all pairs (113 datasets, 231 pairs)",coverage,26103,113,0.0023752059150289237,0.598283477787205,0.4616471623689254,0.7747605806475049,0.11316706891928131,0.01225912730337509,0.33846684289162166,0.08815078726583152,0.058882120829023485,0.006704210244033253,0.22529977397234036
"all pairs (113 datasets, 231 pairs)",eps,26103,113,0.5171819331111367,0.7326863967078323,0.522259868039056,1.1187416251880928,0.20572348005976324,0.11489100869631844,0.2354901735432709,0.12044592575566027,0.1401371489867065,0.06834463471631613,0.02976669348350766
"all pairs (113 datasets, 231 pairs)",width,26103,113,0.000727885683637896,0.9740560843787228,0.6744289763495995,1.4214896585530736,0.5988200589970502,0.41313259012374054,0.6094318660690342,0.3703405738803969,0.46845190208022064,0.2617706776998812,0.010611807071984058
"all pairs (113 datasets, 231 pairs)",width_fb,26103,113,0.30092326552503545,1.2451199977818124,0.9160780854579034,1.8597187373183428,0.5160326399264452,0.37696816457878407,0.4406390070106884,0.2754855763705321,0.3822166034555415,0.21334712485154964,-0.07539363291575679
"all pairs, median over datasets",accuracy,26103,113,0.014481094127111826,0.4607041473908073,0.4205431826761776,0.5226029381362873,0.4854614412136536,0.22936060989158336,0.6875838026280504,0.4840822893920239,0.42412749492395513,0.1898632341110217,0.20212236141439682
"all pairs, median over datasets",brier,26103,113,0.0,0.44730702262752736,0.3664501158811208,0.6340596155514954,0.6728345400911773,0.44075393632915755,0.8117457763475463,0.624640845879784,0.5931502126192392,0.29655595142320806,0.13891123625636903
"all pairs, median over datasets",coverage,26103,113,0.0023752059150289237,0.59284652792592,0.5342919413429092,0.6694387099874916,0.11316706891928131,0.01225912730337509,0.33846684289162166,0.08815078726583152,0.058882120829023485,0.006704210244033253,0.22529977397234036
"all pairs, median over datasets",eps,26103,113,0.5171819331111367,0.7091107902062015,0.5966134011270636,1.079786974551791,0.20572348005976324,0.11489100869631844,0.2354901735432709,0.12044592575566027,0.1401371489867065,0.06834463471631613,0.02976669348350766
