model,S,N,U,F,M,E,OU,OF,OM,OE,accuracy
LogReg,0.7019996831881659,1.3595457954380212,0.08730618287473309,0.11691760599735232,0.28610510479790546,0.37848482889587043,0.15194643793549767,0.18739568809497645,0.35167318550257476,0.4568343038271046,0.7982721673629821
PFN-v2,0.6308085577655581,1.2333347330573943,0.06029203248239523,0.0789514434189265,0.20766671916525586,0.2646215269107072,0.10630044482409713,0.12838316928104807,0.2661189953733461,0.3323645824912882,0.8432107688750338
catboost,0.6539322234676785,1.282121869774453,0.06992149406320498,0.09308612743136535,0.23493645319306167,0.30917421511742194,0.12451010580490128,0.15145502035843877,0.29716153988811406,0.37994398552805897,0.8259121024371857
exaone,0.6219227458429337,1.2117469708600421,0.05629703418316475,0.07377302223932239,0.19226401702841925,0.2446642300253323,0.09937170015283008,0.11997408169703744,0.24920828020967245,0.3100425992166431,0.8501323874644299
ftt,0.6721033123538596,1.316833178319794,0.07808024802706011,0.10342656213133301,0.260284874288741,0.3425799393209008,0.1378791464064988,0.16774052470524062,0.32195820828605615,0.4145476713427689,0.8151648973678222
knn,0.8217652323107927,1.4533211296979085,0.09847676021369231,0.14559305291130675,0.3107999481351109,0.4669803760107907,0.1695609805778314,0.2214450740395437,0.3771404852908862,0.5432141316120109,0.7918154720438098
lightgbm,0.660493567842063,1.2894009600851457,0.07216751377042363,0.09656986029153311,0.24068820920443337,0.3159809531478258,0.12789013513450215,0.15631413400744537,0.30314318315968747,0.3878526059988805,0.8234111679523188
mitra,0.6494934500458341,1.2742301941512517,0.06932129291224322,0.0908532325475512,0.23259631035704104,0.30240461184096207,0.12094759810751769,0.14677514934208447,0.2926900910725245,0.3732248479925397,0.8288993139218487
mitra@v2,0.6260732464501558,1.2205071047437246,0.057933511433197665,0.07572940300502679,0.19841305834493142,0.2524807099191478,0.10235222446611887,0.12336483399917869,0.25631647790727335,0.3188068276235469,0.8470718059887928
mlp,0.7163847492969818,1.3372376748760564,0.07998679813138189,0.11003001025344535,0.2645079487724333,0.35863865454830895,0.14092636355206917,0.1758975259221684,0.32967900767103153,0.43405606924761087,0.8114951371964957
resnet,0.6801459609833367,1.338233595320595,0.07792674772812554,0.11137892414469919,0.25521071324385075,0.3620441812770869,0.1378868255885512,0.17595000383931714,0.31987522436854127,0.43602239457046454,0.8140982811951473
tabfm,0.6392899912531285,1.1998903366814524,0.0541094500829071,0.07081602799389299,0.18360824279392277,0.23447990659408546,0.09555322937522447,0.1152844293785628,0.23832483467564053,0.29742690718421216,0.855764963993336
tabicl,0.6324473414992542,1.2338912073217205,0.059999200833659734,0.078903479602499,0.20656107990167635,0.26496798286775547,0.10582186573974961,0.128195148499363,0.2646589803183589,0.331959849273,0.8426660475822225
tabiclv2,0.6266872692491945,1.2173486251056116,0.05697961021260248,0.07491111271926298,0.19456371833500066,0.25006382394877147,0.10085662945601533,0.12200443724005257,0.25171824476636767,0.3157860329984965,0.8485592012282972
tabldm,0.6261027526231362,1.2199834699448453,0.05759529579307965,0.07562776991187088,0.19736545001560424,0.252410890319646,0.10162278648785089,0.12289469998838952,0.25469300802984335,0.31844513264888774,0.84733106297747
tabm,0.6873198059096671,1.3099012549411895,0.07784012952999726,0.1017679043481528,0.25741245446812805,0.3344469180252639,0.1367281775828526,0.16535865092439256,0.3187088784175561,0.40642111813705506,0.816909863036007
tabpfn,0.6574593732934292,1.2828538115857102,0.07005026559073664,0.09324645990952139,0.23620171080848903,0.3104410936300342,0.122797087327628,0.1503833142008247,0.2963677087229671,0.38070498904819555,0.8260237682649925
tabpfn25,0.6281731429539105,1.225542691378579,0.05877554189194955,0.0769672210432297,0.2016643084079985,0.257172266371482,0.10366120406047531,0.1251791091878179,0.25897518297876554,0.32340400007322834,0.8463129784301106
tabpfn25b,0.6287596147862404,1.2272845822851064,0.05908042848728369,0.07725754993334093,0.20362195946650105,0.25883366945508185,0.1042451716093826,0.1257470454289275,0.2610303532127326,0.32529706596781305,0.845580040635978
tabpfn26,0.6262928739968765,1.2231674133231436,0.05806436128519251,0.07609613100877943,0.20047045759531898,0.2553255174661072,0.10258499363646198,0.12383300892743938,0.25785738369679956,0.32140033293614056,0.8471692042638292
tabpfn3,0.6456079814572527,1.2206263728546367,0.057710128991185786,0.07584080674682361,0.197553147566858,0.25257156680051873,0.10158355926149353,0.1229970420649457,0.253692075832315,0.31727508767174534,0.8483977520117424
xgboost,0.6751850535204147,1.287238887196079,0.07263402032177615,0.0949201947210618,0.24303556417515132,0.312542768255325,0.12748407910987813,0.15376387224324908,0.30482268275226565,0.3838703215954073,0.8242159253436816
