aggregation,metric,rho_all,rho_tfm_gbdt,tfm,gbdt,tfm_minus_gbdt
raw,sscs,-0.9243365330321853,-0.9,0.4914340799723316,0.5344229727770601,-0.04298889280472851
raw,commit_pt,-0.9853190287972897,-0.9735294117647059,0.9685113471371147,0.9738893876230935,-0.005378040485978786
raw,sscsp,0.9887069452286844,0.9735294117647059,0.9030328272965813,0.8873893999298094,0.015643427366771934
z,sscs,0.35177865612648224,0.09999999999999999,0.03217647976219045,-0.014274106068834724,0.046450585831025175
z,commit_pt,-0.9345002823263695,-0.8411764705882352,-0.21262895836181273,0.1155719518521436,-0.3282009102139563
z,sscsp,0.9864483342744214,0.9676470588235294,0.41102543141731884,-0.21558475893038817,0.626610190347707
minmax,sscs,0.1360813099943535,-0.12941176470588234,0.5034559417144625,0.5055246082879558,-0.0020686665734932497
minmax,commit_pt,-0.953698475437606,-0.8823529411764707,0.4273525584619222,0.5286842277058094,-0.10133166924388715
minmax,sscsp,0.9841897233201583,0.961764705882353,0.7846734319498498,0.6140713985359755,0.17060203341387437
rank,sscs,0.6382378113869324,0.7932305311578381,-11.04628999319265,-11.864306784660767,0.8180167914681178
rank,commit_pt,-0.9582156973461323,-0.8970588235294116,-12.808713410483323,-10.64306784660767,-2.1656455638756533
rank,sscsp,0.9785431959345003,0.9735294117647059,-8.703199455411845,-13.85693215339233,5.153732697980486
