model,family,n_runs,mean_sscs,p_noempty,mean_sscsp_noempty,product,share_sscs_zero,zero_from_empty,zero_converse,logvar_share_commit,logvar_share_conf,max_abs_product_error
LogReg,classic,1130,0.5762459242674376,0.7017699115044248,0.8211322754378366,0.5762459242674376,0.3035398230088496,337,6,,,
PFN-v2,TFM,1130,0.4966341549874115,0.584070796460177,0.8502978714178409,0.4966341549874115,0.4168141592920354,470,1,,,
catboost,GBDT,1130,0.5255269684091602,0.6283185840707964,0.8364020764821846,0.5255269684091602,0.37256637168141593,420,1,,,
exaone,TFM,1130,0.4793654085606361,0.5610619469026549,0.8543894505891465,0.4793654085606362,0.4389380530973451,496,0,,,
ftt,deep,1130,0.5340041388661791,0.6460176991150443,0.8266091464640856,0.5340041388661791,0.3566371681415929,400,3,,,
knn,classic,1130,0.6224612563241251,0.7407079646017699,0.8403598801030602,0.6224612563241251,0.2592920353982301,293,0,,,
lightgbm,GBDT,1130,0.5324001746004372,0.6345132743362832,0.8390686154790712,0.5324001746004372,0.3672566371681416,413,2,,,
mitra,TFM,1130,0.5128844257843597,0.6088495575221239,0.8423828504888465,0.5128844257843597,0.3920353982300885,442,1,,,
mitra@v2,TFM,1130,0.47818796228704674,0.5610619469026549,0.8522908476094051,0.47818796228704674,0.4389380530973451,496,0,,,
mlp,deep,1130,0.531725015890361,0.6469026548672566,0.8219552229221723,0.531725015890361,0.35575221238938054,399,3,,,
resnet,deep,1130,0.5219756958443511,0.6327433628318584,0.8249406102155479,0.5219756958443511,0.36991150442477877,415,3,,,
tabfm,TFM,1130,0.4685017185261147,0.5469026548672566,0.856645537110857,0.4685017185261147,0.45309734513274336,512,0,,,
tabicl,TFM,1130,0.5018699607389009,0.588495575221239,0.8528015874209894,0.5018699607389009,0.41238938053097346,465,1,,,
tabiclv2,TFM,1130,0.48766684950262457,0.5734513274336284,0.8504066974351323,0.48766684950262457,0.42920353982300885,482,3,,,
tabldm,TFM,1130,0.49205350218588506,0.5769911504424778,0.8527921126841261,0.4920535021858851,0.42389380530973453,478,1,,,
tabm,deep,1130,0.5484885791499864,0.6592920353982301,0.8319356972342075,0.5484885791499864,0.3433628318584071,385,3,,,
tabpfn,TFM,1130,0.5206801472131657,0.6185840707964602,0.8417289933488945,0.5206801472131657,0.38141592920353984,431,0,,,
tabpfn25,TFM,1130,0.48756469878311764,0.5725663716814159,0.8515426732997265,0.48756469878311776,0.4283185840707965,483,1,,,
tabpfn25b,TFM,1130,0.49183948692372154,0.5778761061946903,0.8511158043243573,0.49183948692372154,0.4230088495575221,477,1,,,
tabpfn26,TFM,1130,0.4845210236862641,0.5690265486725664,0.8514910680645077,0.48452102368626415,0.4327433628318584,487,2,,,
tabpfn3,TFM,1130,0.4868737004610627,0.5699115044247788,0.854297020995343,0.48687370046106276,0.4300884955752212,486,0,,,
xgboost,GBDT,1130,0.5453417753215828,0.6469026548672566,0.8430043859280282,0.5453417753215828,0.3548672566371681,399,2,,,
SUMMARY,,24860,0.5148551167415424,0.6111826226870475,,,0.3901850362027353,9666,34,113.9996424541013,-13.99964245410136,1.1102230246251565e-16
