contrast,metric,mean,lo,hi,wilcoxon_p,pos,neg,zero,n
TFM-GBDT,auc,0.024304500564209193,0.018814094623213585,0.0305051075360617,1.1134280398752408e-19,108,5,0,113
TFM-GBDT,sscs,-0.042988892804728514,-0.0714140804275553,-0.01681475001303928,0.2946160574033265,46,38,29,113
TFM-GBDT,commit_pt,-0.005378040485978779,-0.008566121178841998,-0.0026543764758363638,1.8667499591191654e-05,16,46,51,113
TFM-GBDT,commit_run,-0.058974358974358966,-0.08883707737690037,-0.03192648059904697,3.0043355517856104e-05,4,29,80,113
TFM-GBDT,sscsp,0.01564342736677218,0.010622400284567861,0.02120117098361785,5.2310540237460683e-11,93,18,2,113
TFM-deep,auc,0.03905208788555929,0.03176977378958337,0.0470447970166788,6.06585915157681e-20,109,4,0,113
TFM-deep,sscs,-0.04261427746538775,-0.07292592376817224,-0.016388891839516796,0.4811169349366087,53,38,22,113
TFM-deep,commit_pt,-0.007645775604593543,-0.010581260937317129,-0.004966161783113745,1.826233411391082e-08,7,54,52,113
TFM-deep,commit_run,-0.06863512593601089,-0.09908100748808712,-0.04133721919673247,2.6929068520373884e-07,3,35,75,113
TFM-deep,sscsp,0.02657397754994371,0.019610384657915723,0.03463949363219889,7.366826910928714e-17,102,11,0,113
TFM-classic,auc,0.058229201735133275,0.049690099010078426,0.06718409208183174,4.295169420315001e-20,110,3,0,113
TFM-classic,sscs,-0.10791951032344972,-0.1599378658449681,-0.05927855790713057,0.022191633941548987,46,48,19,113
TFM-classic,commit_pt,-0.015392503696307385,-0.020448450672595205,-0.01078716590220142,5.172994912340365e-11,4,58,51,113
TFM-classic,commit_run,-0.14363512593601088,-0.20085176991150444,-0.09009445200816882,2.465102878008667e-07,2,40,71,113
TFM-classic,sscsp,0.03590529324910843,0.026357393197208354,0.04607486105662037,6.213374229697379e-15,98,15,0,113
