model,family,n_datasets,auc,auc_lo,auc_hi,eps,eps_lo,eps_hi,commit_pt,commit_pt_lo,commit_pt_hi,commit_run,commit_run_lo,commit_run_hi,sscs,sscs_lo,sscs_hi,sscsp,sscsp_lo,sscsp_hi,cov,cov_lo,cov_hi,width,width_lo,width_hi
tabfm,TFM,113,0.9010793421198732,0.8821017966899465,0.9191897945197945,0.034521750541888975,0.02685490049686061,0.04239095069672147,0.9654782494581109,0.9576090493032785,0.9731450995031393,0.5469026548672566,0.46103982300884955,0.6327433628318584,0.4685017185261147,0.39335380338217146,0.5407421933663568,0.9110561755722211,0.8971550336843133,0.924895439631386,0.9025977015116755,0.9004109412605066,0.9048706975215025,1.2002061970091458,1.1224927921957122,1.286421214973107
exaone,TFM,113,0.8970389838371153,0.8778958687831648,0.9152837248537219,0.03283741445203786,0.025133169851993247,0.04078239661709715,0.9671625855479621,0.9592176033829029,0.9748668301480067,0.5610619469026549,0.4725442477876106,0.6460176991150443,0.47936540856063614,0.4035751792455649,0.5517430682752396,0.9070137967437524,0.8923631249081928,0.9214317610112874,0.9018285796842465,0.899660079738312,0.904029279034426,1.2120584330814395,1.1334390963283176,1.2990449690213355
tabiclv2,TFM,113,0.8966011669019167,0.8774554174006057,0.9148688552115861,0.03265428245401152,0.024939085147438703,0.04069803107210832,0.9673457175459884,0.9593019689278918,0.9750609148525612,0.5734513274336283,0.48407079646017703,0.6592920353982301,0.4876668495026245,0.41152535371896454,0.5614165304695846,0.9042946088186994,0.8877984508315356,0.9197068246588309,0.901658715446244,0.8996609414314357,0.9036378722973899,1.217597868370124,1.1374812269636172,1.306906312204406
tabpfn3,TFM,113,0.8957786836916357,0.876753698792983,0.9141616257957612,0.03189867479421262,0.024287995962390656,0.03965273221123201,0.9681013252057874,0.9603472677887679,0.9757120040376093,0.5699115044247788,0.4805309734513274,0.6548672566371682,0.4868737004610627,0.4103450269113644,0.5598555346883537,0.9066994434912621,0.8918792112339043,0.9209726847827662,0.9034544275437212,0.9013116832183471,0.9057943455186739,1.2208845206604166,1.140643251947424,1.3109025076064564
tabldm,TFM,113,0.8952499605306486,0.8760472890524903,0.9137551559714391,0.032354704355724066,0.024583178214021947,0.04032438499469588,0.967645295644276,0.9596756150053041,0.975416821785978,0.576991150442478,0.4876106194690265,0.6619690265486727,0.49205350218588517,0.4161935504451185,0.5660315303549316,0.9050754871541219,0.8896038335289889,0.9197282396225315,0.9016363570725222,0.8996182543891493,0.903700218589238,1.2202303644846564,1.1396628350767526,1.3089213430597606
mitra@v2,TFM,113,0.8948804947708231,0.8758779957504783,0.9130855469054645,0.031930271520139136,0.02425036284152551,0.039866948351847724,0.968069728479861,0.9601330516481522,0.9757496371584744,0.5610619469026549,0.4725663716814159,0.6469026548672566,0.47818796228704674,0.4026001154233624,0.5508548652597036,0.9044864862514669,0.890046391520994,0.9188743893710439,0.9018155694715703,0.8998057776692777,0.9038079831463933,1.220775713352446,1.1411715717969309,1.308678395033657
tabpfn26,TFM,113,0.893861035226703,0.8747844237858329,0.9121209060993445,0.032115233966229485,0.024547725848460215,0.039966101686982204,0.9678847660337706,0.9600338983130178,0.9754522741515399,0.5690265486725663,0.4805088495575221,0.6548672566371682,0.48452102368626404,0.4086037495641712,0.5587972884986686,0.9040634065006564,0.8882885482909818,0.918975481815706,0.9018892365046345,0.8998152713483277,0.904064397163658,1.2234739255237048,1.1433095725197664,1.3122325864965492
tabpfn25,TFM,113,0.8934948950249457,0.8743335325161068,0.9117729341086672,0.031592010243688705,0.024053554924907197,0.03944184579717284,0.9684079897563114,0.9605581542028271,0.9759464450750929,0.5725663716814158,0.48493362831858405,0.6566592920353983,0.48756469878311776,0.4122043632239775,0.5610272542691191,0.9039891669539959,0.8888936016509591,0.9189155358037374,0.9022544130329563,0.9001537166504618,0.9043561851039569,1.225842347614307,1.1447818398789644,1.3151455726405048
tabpfn25b,TFM,113,0.8925472949033502,0.8735423543173196,0.910863653186824,0.03150076876663696,0.023990956734149475,0.03933171195235977,0.9684992312333631,0.9606682880476402,0.9760090432658505,0.5778761061946903,0.488495575221239,0.6628539823008851,0.4918394869237215,0.4156064449030064,0.5659655057042242,0.9034288847567521,0.888177187115394,0.918413096702914,0.9021059858632169,0.9000593856441355,0.9041877370390293,1.2276112052333992,1.1466914169537545,1.31807813177843
tabicl,TFM,113,0.8911648169428983,0.8718845749086789,0.9097420513626472,0.031017954605395734,0.02339992690442518,0.03871948872605035,0.9689820453946043,0.9612805112739496,0.9766000730955748,0.588495575221239,0.4982300884955752,0.6752212389380531,0.5018699607389008,0.4244575377125078,0.5769213286921779,0.9033182841315323,0.8883388530606368,0.9177452961098839,0.9020704067432886,0.9000747612925118,0.904172487944908,1.2342340333389017,1.1525011837955277,1.325737050164823
