dataset,auc_GBDT,auc_TFM,auc_classic,auc_deep,commit_pt_GBDT,commit_pt_TFM,commit_pt_classic,commit_pt_deep,sscsp_GBDT,sscsp_TFM,sscsp_classic,sscsp_deep,n,K,p
BLE_RSSI_dataset_for_Indoor_localization,0.901007325860902,0.9035272418709982,0.9015891231078639,0.8960642459333141,1.0,1.0,1.0,1.0,0.8652074482243863,0.868635305488863,0.8655748351279688,0.8606117230589384,9984,3,3
Bank_Customer_Churn_Dataset,0.865297166709596,0.8793992522806082,0.7916212051805271,0.8618052374408307,1.0,1.0,1.0,1.0,0.8940465164522887,0.8967842070466037,0.8782985114827006,0.893882570549675,10000,2,10
Basketball_c,0.7016379242460036,0.7366802049828272,0.7272752775809119,0.7282039924403496,1.0,1.0,1.0,1.0,0.7848726623736724,0.788310936794281,0.7862883583280313,0.7837394978500987,1340,2,11
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),0.9623815234519837,0.9872491871310003,0.9316375834260289,0.9597586728309233,0.9826388888888888,0.9237660256410257,1.0,0.9780729166666667,0.9138725944963809,0.9769006652441661,0.890912386506598,0.9222466558412056,2400,2,30
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),0.9695610863922878,0.9924268818986909,0.9337875417130144,0.9624515520717463,0.9947222222222224,0.9345673076923078,0.999375,0.9897916666666666,0.9179982731959435,0.9814791809449812,0.8991124197617513,0.9185743376816949,2400,2,30
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),0.9620304389136077,0.9847964084024985,0.924003667269188,0.9597956062291435,0.9916666666666667,0.9284134615384616,1.0,0.98453125,0.9057289471610083,0.9678017455604448,0.8813070336996094,0.9150252629855943,2400,2,30
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),0.9633574341861327,0.9892018107726533,0.9272273011679644,0.9590371680339267,0.9955555555555554,0.9255929487179487,1.0,0.9847916666666667,0.9123483836247507,0.9709065369373295,0.8857818762376923,0.9083880365496776,2400,2,30
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),0.9462794308490916,0.9847824372165654,0.9206257821190211,0.9452053931451613,0.9932638888888888,0.9459935897435898,1.0,0.9938541666666667,0.8936101893692804,0.9585675205516316,0.8892720536400947,0.9009195123232507,2400,2,30
Customer_Personality_Analysis,0.8732753555059348,0.8992885361201263,0.854854663689427,0.8548938378971285,1.0,0.9999313186813187,1.0,1.0,0.9021595681164021,0.9071167522242634,0.8960761570878248,0.9044513337866165,2240,2,24
Diabetic_Retinopathy_Debrecen,0.7717517314062029,0.8360783939035972,0.7501674947305028,0.794359756097561,1.0,1.0,1.0,1.0,0.8213429484611013,0.8443682434387862,0.773313706921892,0.8379770306818326,1151,2,19
