model,z_auc,z_sscs,z_commit_pt,z_sscsp
tabfm,0.8843860861213484,-0.04424483189347372,-0.5182200409522638,0.7345666859671642
exaone,0.7128471643123654,0.057823777537470714,-0.3148641812499397,0.6063791824375975
tabiclv2,0.7171687606280418,0.031052111203703683,-0.21886234970858018,0.49522303508318016
tabpfn3,0.682840450358496,0.0695213744374451,-0.2534035247711573,0.5668779145878101
tabldm,0.6814983550559992,0.05800157935685338,-0.18595227148750573,0.47572197001169214
mitra@v2,0.6336651332401952,0.046851508091933516,-0.2348822841326152,0.5336718974561139
tabpfn26,0.6069390454431364,0.09024990692853668,-0.24592820222178555,0.46439143225234397
tabpfn25,0.6141686138013902,0.03929716887866052,-0.23846641985193512,0.47052389585084203
tabpfn25b,0.5855779413373732,0.041052953949284265,-0.20486352539952674,0.41421398724443576
tabicl,0.5115431863668821,0.0836499074596654,-0.13881053392469184,0.3409426817572263
PFN-v2,0.48125606900788387,-0.05111214279595938,-0.2290668314888514,0.28294115850210017
mitra,0.16750308776545006,0.05942478496314326,0.021639190768627223,0.004708078672223936
tabpfn,0.012435926271427982,-0.06327386120878754,-0.002495484283340288,-0.046831311397585784
catboost,-0.3221914007169091,-0.09188986742059353,0.10905819424678202,-0.25111805992501063
xgboost,-0.35594670392963745,0.07764697943853315,0.10531532652123868,-0.13830188412062916
lightgbm,-0.34005439178445285,-0.028579430224443782,0.13234233478841015,-0.25733433274552464
