dataset,universe,real,task,is_binary,K,n,p,n_num,n_cat,cat_share,n_train,n_cal,n_test,family_orig,family_strict,family_size_strict,in_F1_main,outside_envelope,K_profile,openml_id,synthetic_family,source,info_n_classes,nan_share_num,num_binary_cols,num_lowcard_cols,num_median_unique,cat_levels_total,cat_levels_max,p_onehot,test_majority,test_minority,test_imb_ratio,test_H_norm,test_n_eff_classes,test_min_count,test_classes_present,ytest_counts_match_raw,pool_majority,pool_classes,test_classes_missing,syn_n_informative,syn_n_redundant,syn_n_noise,syn_snr,syn_fisher_ratio,syn_mean_skewness,syn_max_skewness,syn_mean_kurtosis,syn_max_kurtosis,syn_mean_abs_correlation,syn_max_abs_correlation,n_models_any,n_models_complete10,n_tfm_complete10,n_gbdt_complete10,n_deep_complete10,n_classic_complete10,models_missing_complete10,acc_best,acc_best_model,acc_median_models,acc_worst,acc_spread_models,nll_best,share_models_acc_gt_0.9,eps_mean_models,eps_max_models,share_models_eps_pos,no_empty_any_model,width_mean_models,cov_mean_models,acc_tfm_mean,eps_tfm_mean,nll_tfm_mean,acc_gbdt_mean,eps_gbdt_mean,nll_gbdt_mean,acc_deep_mean,eps_deep_mean,nll_deep_mean,acc_classic_mean,eps_classic_mean,nll_classic_mean,acc_ref5,acc_logreg,acc_knn,cal_min_class_min,cal_min_class_median,cal_n_below_9_max,cal_n_below_19_max,cal_n_below_99_max,n_splits,test_dup_in_pool,test_dup_label_agree,pool_dup_share,conflict_share,acc_margin_best_vs_second,acc_second_model,K_gt_10,n_gt_published,p_gt_published,K_gt_published,tabpfn_v1_subsampled,mitra_support_subsampled,pfnv2_subsample_binds,n_cal_per_class,log10_n,log10_n_cal,lift_best_over_majority,headroom_best_vs_1m_alpha,nonlin_gap_best_minus_logreg,gap_tfm_minus_gbdt_acc,gap_tfm_minus_gbdt_eps
ASP-POTASSCO-classification,D_new62,True,multiclass,False,11,1294,141,140,1,0.0070921985815602,724,311,259,ASP-POTASSCO-classification,ASP-POTASSCO-classification,1,False,True,11,41705.0,,https://www.openml.org/search?type=data&status=active&id=41705&sort=runs,11.0,0.10078383749172,8,11,440.0,2,2,142,0.2007722007722007,0.0154440154440154,13.0,0.9292303692501288,9.283114546872092,4,11,True,0.1990338164251207,11,0,,,,,,,,,,,,12,11,2,3,4,2,tabpfn;PFN-v2;tabpfn25;tabpfn25b;tabpfn26;tabicl;mitra;mitra@v2;tabldm;tabfm;exaone,0.44787644787644787,tabiclv2,0.4007722007722007,0.35212355212355206,0.0957528957528958,1.5852217792442913,0.0,0.0,0.0,0.0,True,6.153387153387154,0.9080379080379081,0.4472972972972973,0.0,1.5880939009404225,0.4368082368082368,0.0,1.918341385516669,0.3774131274131274,0.0,2.2496334513420844,0.38532818532818525,0.0,4.861809127457479,0.41621621621621624,0.36988416988416983,0.4007722007722007,5,5.0,1,4,11,10,0.0038610038610038,1.0,0.0,0.0,0.0011583011583011,tabpfn3,True,False,True,True,False,False,False,28.272727272727273,3.1119342763326814,2.4927603890268375,0.24710424710424717,-0.45212355212355215,0.07799227799227804,0.010489060489060453,0.0
Amazon_employee_access,D_new62,True,binclass,True,2,32769,7,0,7,1.0,18350,7865,6554,Amazon_employee_access,Amazon_employee_access,1,False,True,2,4135.0,,https://www.openml.org/search?type=data&status=active&id=4135&sort=runs,2.0,0.0,0,0,,3865,2358,3865,0.9421727189502592,0.0578272810497406,16.29287598944591,0.3187589646588488,1.2472571715490666,379,2,True,0.9420942208659164,2,0,,,,,,,,,,,,21,20,12,3,3,2,exaone;mlp,0.9453768690875801,tabpfn25b,0.9435993286542569,0.9407842538907536,0.004592615196826522,0.16830140887515296,1.0,0.06137091852303932,0.0682941714983216,1.0,False,0.9386290814769606,0.9006545620994812,0.9440354490896145,0.0631993184823517,0.18384711645176,0.9435306682941715,0.06602583663920249,0.17834330602125884,0.9420048825144948,0.05896144847930013,0.2070608793696879,0.9414784864205064,0.0470323466585291,0.39955377760885147,0.9427097955447055,0.9421727189502592,0.9407842538907536,455,455.0,0,0,0,10,0.9258468111077204,0.9416611733684904,0.9266069044440206,0.0949683438853715,0.0002441257247483,tabpfn25,False,True,False,False,True,True,True,3932.5,4.5154631883732685,3.8956987269593055,0.0032041501373208936,0.045376869087580096,0.0032041501373208936,0.0005047807954429162,-0.0028265181568507824
BLE_RSSI_dataset_for_Indoor_localization,A_published112,True,multiclass,False,3,9984,3,3,0,0.0,5590,2397,1997,BLE_RSSI_dataset_for_Indoor_localization,BLE_RSSI_dataset_for_Indoor_localization,1,True,False,3,,,https://archive.ics.uci.edu/dataset/586/ble+rssi+dataset+for+indoor+localization,3.0,0.0,0,0,47.0,0,0,3,0.343014521782674,0.3169754631947922,1.0821484992101107,0.9994413197404888,2.9981592459647435,633,3,True,0.3428070614748967,3,0,,,,,,,,,,,,22,22,13,3,4,2,,0.7747621432148223,tabfm,0.7355282924386579,0.7295443164747121,0.04521782674011021,0.5177375823259058,0.0,0.0,0.0,0.0,True,1.4987686074566395,0.9149201074338781,0.739335926967374,0.0,0.5848909488184068,0.7387748289100317,0.0,0.6627028226288004,0.7336504757135702,0.0,0.6093031939352163,0.7437906860290435,0.0,0.6251240488085494,0.7407811717576365,0.7295443164747121,0.7580370555833751,760,760.0,0,0,0,10,0.9769654481722584,0.7098923628908252,0.9750845123325405,0.5639476334340383,0.0167250876314472,knn,False,False,False,False,True,False,False,799.0,3.9993045723383487,3.379668034033654,0.4317476214321483,-0.12523785678517774,0.04521782674011021,0.0005610980573423907,0.0
BNG(breast-w),D_new62,True,binclass,True,2,39366,9,9,0,0.0,22044,9448,7874,BNG(breast-w),BNG(breast-w),1,False,True,2,251.0,,https://www.openml.org/search?type=data&status=active&id=251&sort=runs,2.0,0.0,0,0,11991.0,0,0,9,0.6559563119126238,0.3440436880873762,1.9066076042820228,0.9286357740728692,1.903475200840648,2709,2,True,0.6558808586307634,2,0,,,,,,,,,,,,21,20,12,3,3,2,exaone;mlp,0.9891160782321565,tabfm,0.9862458724917449,0.9780289560579121,0.011087122174244457,0.029824166660858194,1.0,0.09619507239014473,0.10005080010160014,1.0,False,0.9038049276098553,0.9026301752603505,0.9867189484378969,0.09780818728304119,0.03689120487152164,0.9865591397849461,0.09774362882059094,0.04114903695154015,0.98500127000254,0.09729489458978913,0.04159451292242844,0.9803022606045212,0.08254381508763013,0.10786957815993638,0.9840563881127762,0.9780289560579121,0.9825755651511303,3251,3251.0,0,0,0,10,0.1750063500127,1.0,0.1749015623015369,0.0,0.0010160020320041,tabicl,False,True,False,False,True,True,True,4724.0,4.595121288140943,3.975339884605458,0.3331597663195327,0.0891160782321565,0.011087122174244457,0.00015980865295073254,6.455846245025099e-05
BNG(cmc),D_new62,True,multiclass,False,3,55296,9,2,7,0.7777777777777778,30965,13271,11060,BNG(cmc),cmc,3,False,True,3,255.0,,https://www.openml.org/search?type=data&status=active&id=255&sort=runs,3.0,0.0,0,0,45046.5,22,4,24,0.4262206148282098,0.2250452079566003,1.8939333065488149,0.9707675180821078,2.9051851546256255,2489,3,True,0.426191337372276,3,0,,,,,,,,,,,,21,20,12,3,3,2,exaone;mlp,0.5911754068716094,tabfm,0.5834041591320073,0.521627486437613,0.06954792043399638,0.8695245574626371,0.0,0.0,0.0,0.0,True,2.08276130198915,0.9011523508137433,0.5799359553948161,0.0,0.8859871776525364,0.5825949367088609,0.0,0.8841833766555679,0.5815400843881857,0.0,0.8857101676957139,0.5419755877034358,0.0,0.9474725252747975,0.5663471971066908,0.521627486437613,0.5623236889692586,2987,2987.0,0,0,0,10,0.0001808318264014,0.5,0.0001808481779546,6.782419967444384e-05,0.0049005424954792,tabpfn25b,False,True,False,False,True,True,True,4423.666666666667,4.742693716462781,4.122903649173324,0.16495479204339963,-0.3088245931283906,0.06954792043399638,-0.0026589813140447394,0.0
BNG(tic-tac-toe),D_new62,True,binclass,True,2,39366,9,0,9,1.0,22044,9448,7874,BNG(tic-tac-toe),BNG(tic-tac-toe),1,False,True,2,137.0,,https://www.openml.org/search?type=data&status=active&id=137&sort=runs,2.0,0.0,0,0,,27,3,27,0.6529083058166116,0.3470916941833883,1.881083058909623,0.931443838107053,1.9071837361256243,2733,2,True,0.6528959735805919,2,0,,,,,,,,,,,,21,21,12,3,4,2,exaone,0.815963931927864,tabfm,0.8085471170942341,0.6523622047244094,0.16360172720345456,0.402353437518713,0.0,0.0,0.0,0.0,True,1.2589136035414927,0.9006138345610023,0.8014097028194057,0.0,0.4265740508434988,0.8108796884260435,0.0,0.4113661189029864,0.8039243078486158,0.0,0.4252380059996642,0.7128079756159512,0.0,0.6988982282233597,0.7716510033020065,0.6523622047244094,0.773253746507493,3279,3279.0,0,0,0,10,0.8674117348234697,0.7907759882869693,0.8676806808078242,0.2455612690404579,0.0004445008890018,tabpfn3,False,True,False,False,True,True,True,4724.0,4.595121288140943,3.975339884605458,0.16305562611125235,-0.08403606807213604,0.16360172720345456,-0.00946998560663781,0.0
Bank_Customer_Churn_Dataset,A_published112,True,binclass,True,2,10000,10,6,4,0.4,5600,2400,2000,churn,churn,5,True,False,2,,,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset,2.0,0.0,0,1,265.0,9,3,15,0.7965,0.2035,3.914004914004914,0.7288731060739966,1.6573440289367003,407,2,True,0.79625,2,0,,,,,,,,,,,,22,22,13,3,4,2,,0.8773500000000001,mitra@v2,0.870525,0.81645,0.060900000000000065,0.3088145809120018,0.0,0.0,0.0,0.0,True,1.0923954545454546,0.9042136363636363,0.8733499999999998,0.0,0.31763432730699404,0.8661,0.0,0.3402895813549221,0.8624750000000001,0.0,0.3395352980520915,0.827325,0.0,0.5432637765697672,0.8505900000000001,0.81645,0.8382,489,489.0,0,0,0,10,0.0,,0.0,0.0,0.0001000000000002,tabldm,False,False,False,False,True,False,False,1200.0,4.0,3.380211241711606,0.08085000000000009,-0.022649999999999948,0.060900000000000065,0.007249999999999868,0.0
Basketball_c,A_published112,True,binclass,True,2,1340,11,11,0,0.0,750,322,268,Basketball_c,nba-rookie,2,True,False,2,,,https://www.kaggle.com/datasets/yakhyojon/national-basketball-association-nba,2.0,0.0,0,0,101.0,0,0,11,0.6194029850746269,0.3805970149253731,1.6274509803921569,0.9584625841716452,1.9432379689151336,102,2,True,0.6203358208955224,2,0,,,,,,,,,,,,22,22,13,3,4,2,,0.7085820895522388,tabicl,0.6953358208955224,0.6447761194029851,0.06380597014925371,0.5759304413783078,0.0,0.0,0.0,0.0,True,1.5028324287652643,0.8932666214382632,0.700459242250287,0.0,0.5840830410346309,0.6715174129353234,0.0,1.444965309965416,0.6879664179104478,0.0,0.6003993027269723,0.6912313432835822,0.0,0.6266836584659665,0.6794029850746268,0.6955223880597015,0.6869402985074627,122,122.0,0,0,0,10,0.0261194029850746,0.2857142857142857,0.042910447761194,0.0152817574021012,0.0014925373134327,mitra@v2,False,False,False,False,False,False,False,161.0,3.1271047983648077,2.507855871695831,0.0891791044776119,-0.19141791044776124,0.013059701492537323,0.028941829314963585,0.0
California-Housing-Classification,D_new62,True,binclass,True,2,20640,8,8,0,0.0,11558,4954,4128,California-Housing-Classification,California-Housing-Classification,1,False,True,2,45578.0,,https://www.openml.org/search?type=data&status=active&id=45578&sort=runs,2.0,0.0,0,0,1871.5,0,0,8,0.5002422480620154,0.4997577519379845,1.0009694619486185,0.9999998306734054,1.9999997652635104,2063,2,True,0.5001211240310077,2,0,,,,,,,,,,,,21,21,12,3,4,2,exaone,0.9268895348837208,tabfm,0.9051356589147288,0.8394622093023255,0.08742732558139532,0.17206243327722945,0.5714285714285714,0.010653146917681778,0.04227228682170538,0.5714285714285714,False,1.017844453672942,0.9046292451088963,0.909578892118863,0.018414890180878513,0.21266768697425856,0.9020833333333332,0.00091246770025839,0.2567282662538254,0.8840964147286822,0.0,0.27297702317274763,0.8463299418604651,0.0,0.4082305417996456,0.8797819767441861,0.8394622093023255,0.8531976744186046,2476,2476.0,0,0,0,10,0.0,,0.0,0.0,0.0078488372093022,tabpfn3,False,True,False,False,True,True,True,2477.0,4.314709692955174,3.694956002249818,0.4266472868217054,0.02688953488372081,0.08742732558139532,0.007495558785529766,0.017502422480620124
Cardiovascular-Disease-dataset,D_new62,True,binclass,True,2,70000,11,5,6,0.5454545454545454,39200,16800,14000,Cardiovascular-Disease-dataset,Cardiovascular-Disease-dataset,1,False,True,2,45547.0,,https://www.openml.org/search?type=data&status=active&id=45547&sort=runs,2.0,0.0,0,0,157.0,14,3,19,0.5002857142857143,0.4997142857142857,1.0011435105774729,0.9999997644579398,1.9999996734693968,6996,2,True,0.5003035714285714,2,0,,,,,,,,,,,,21,21,12,3,4,2,exaone,0.7352714285714286,tabfm,0.7314357142857142,0.6782428571428571,0.05702857142857143,0.5415888707624119,0.0,0.0,0.0,0.0,True,1.438374149659864,0.8984717687074829,0.7313511904761906,0.0,0.5460798561131001,0.732045238095238,0.0,0.5650652367453746,0.7310964285714285,0.0,0.5474677801032262,0.6952607142857143,0.0,0.5937725313297832,0.7173314285714285,0.7122785714285714,0.6782428571428571,8395,8395.0,0,0,0,10,0.0003571428571428,0.6,0.0010357142857142,0.0002143967411695,0.0009142857142856,tabldm,False,True,False,False,True,True,True,8400.0,4.845098040014257,4.225309281725863,0.23498571428571424,-0.16472857142857145,0.022992857142857148,-0.0006940476190474554,0.0
Click_prediction_small,D_new62,True,binclass,True,2,39948,3,3,0,0.0,22370,9588,7990,Click_prediction_small,Click_prediction_small,1,False,True,2,,,https://www.openml.org/search?type=data&status=any&sort=runs&order=desc&id=1220,2.0,0.0,0,2,3.0,0,0,3,0.8315394242803504,0.1684605757196495,4.936106983655275,0.6541710832787292,1.573711499624714,1346,2,True,0.8315914637962326,2,0,,,,,,,,,,,,21,21,12,3,4,2,exaone,0.8335794743429286,tabpfn25b,0.8327659574468085,0.7590362953692116,0.07454317897371698,0.4373516002394379,0.0,0.0,0.0,0.0,True,1.323211752786221,0.9094975862685499,0.8266061743846475,0.0,0.44872124415937864,0.8325907384230288,0.0,0.44003329982043504,0.833075719649562,0.0,0.45301887540162594,0.8323216520650814,0.0,0.4992592681421646,0.8324831038798498,0.8323654568210263,0.8322778473091365,1615,1615.0,0,0,0,10,0.9967459324155196,0.833249623304872,0.996933475186182,0.4047619047619047,0.0001001251564454,tabpfn25,False,True,False,False,True,True,True,4794.0,4.601495041204292,3.9817280253616163,0.002040050062578125,-0.06642052565707146,0.0012140175219023108,-0.005984564038381324,0.0
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),A_published112,True,binclass,True,2,2400,30,30,0,0.0,1344,576,480,urbinati-microwave,urbinati-microwave,5,True,False,1,45538.0,,https://www.openml.org/search?type=data&status=active&id=45538&sort=runs,1.0,0.0,0,0,1280.5,0,0,30,0.5166666666666667,0.4833333333333333,1.0689655172413792,0.9991983542636396,1.9988889917352368,232,2,True,0.5041666666666667,2,0,,,,,,,,,,,,22,22,13,3,4,2,,0.9831249999999999,tabfm,0.9419791666666666,0.8647916666666667,0.11833333333333318,0.04738357150821707,0.8636363636363636,0.05140151515151512,0.08874999999999997,0.9090909090909091,False,0.9543276515151514,0.901155303030303,0.9556891025641027,0.07623397435897432,0.12710066862338468,0.9054861111111112,0.017361111111111088,0.35611589617742645,0.9118229166666667,0.021927083333333312,0.27795928106682777,0.8761458333333334,0.0,1.4375549537562018,0.89375,0.8875,0.8647916666666667,286,286.0,0,0,0,10,0.0,,0.0,0.0,0.0154166666666665,tabiclv2,False,False,False,False,False,False,False,288.0,3.380211241711606,2.760422483423212,0.4664583333333332,0.0831249999999999,0.09562499999999996,0.05020299145299145,0.05887286324786323
